STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,"答案
ANSWER"
"Luo Li has a deep passion for gardening, and he has some fame in the community because of this. Shao Qi is the organizer of community activities, and Zhi Hao is the person in charge of the community organization. One day, Shao Qi finds Zhi Hao and proposes to hold a garden party, and also suggests inviting Luo Li to introduce his gardening achievements. Zhi Hao hesitates a bit, but Shao Qi smiles at him and gives him a nod of affirmation. Later, after the party invitation goes out, Luo Li accepts the invitation.",What do you think Zhi Hao thinks?,Zhi Hao is very happy because he thinks Luo Li's arrival makes the party very successful.,"Zhi Hao feels a bit uneasy, he thinks inviting Luo Li might bring bad results.",Zhi Hao feels depressed because he doesn't like Luo Li very much.,"Zhi Hao feels a bit troubled, he admires Luo Li but is not sure if Luo Li wants to participate in the party.",D
"Daming and Xiaoliang both love their mother very much, her birthday is coming soon. They decide to buy a special birthday gift for their mother while they are happily playing. Daming gives Xiaoliang a hint with his eyes, then points to the picture on the wall clock. The mother in the picture is admiring a bouquet of roses. Daming smiles, seems to have an idea. Then, he and Xiaoliang whisper a few words and leave the room together. Their mother sees all this at the door.",Why does Daming smile after looking at the picture?,"Daming's birthday is coming, he is thinking about how to celebrate.",Daming feels happy and warm looking at the picture of his mother.,"After looking at the picture, Daming thinks of buying roses for his mother as a birthday gift.",Daming remembers the funny scene when the picture is taken.,C
"Daming and Xiaoliang both love their mother very much, her birthday is coming soon. They decide to buy a special birthday gift for their mother while they are happily playing. Daming gives Xiaoliang a hint with his eyes, then points to the picture on the wall clock. The mother in the picture is admiring a bouquet of roses. Daming smiles, seems to have an idea. Then, he and Xiaoliang whisper a few words and leave the room together. Their mother sees all this at the door.",What do you think the mother thinks after seeing this?,"The mother probably feels curious, not knowing what they are plotting.",The mother probably feels angry because the children do not do the housework on time.,The mother probably sighs that the children are growing up and start to have private conversations.,The mother probably feels happy because she really likes the roses that the children are going to give her.,A
"Zheming and Lanlan are a couple, they take care of grandfather. Grandfather just comes out of the hospital, he needs 24-hour care. The whole family eats dinner, the atmosphere is quite heavy. Zheming suddenly looks at Lanlan who holds the grandfather's health check report while eating, Lanlan sees the tension in Zheming's eyes. Lanlan does not speak, but her expression obviously becomes serious. Zheming realizes that grandfather is watching them, instantly changes his expression, Zheming smiles at grandfather, then starts to speak.",Why does Zheming smile at grandfather and start to speak?,"Zheming thinks of grandfather's discharge from the hospital today, feels happy, so he smiles at grandfather.",Zheming tries to ease the tension of the matter that needs to discuss with grandfather with a smile.,Zheming does not want the disagreement between him and Lanlan to be known by grandfather.,Zheming avoids continuing eye contact with Lanlan by talking to grandfather.,B
"Zheming and Lanlan are a couple, they take care of grandfather. Grandfather just comes out of the hospital, he needs 25-hour care. The whole family eats dinner, the atmosphere is quite heavy. Zheming suddenly looks at Lanlan who holds the grandfather's health check report while eating, Lanlan sees the tension in Zheming's eyes. Lanlan does not speak, but her expression obviously becomes serious. Zheming realizes that grandfather is watching them, instantly changes his expression, Zheming smiles at grandfather, then starts to speak.",What do you think grandfather thinks?,Grandfather feels confused and puzzled.,Grandfather feels happy because Zheming treats him well.,"Grandfather is a bit worried, he thinks Zheming and Lanlan are arguing about the child.","Grandfather looks forward, he thinks Zheming is going to give him good news.",A
"Xinhua and Xiaoxin discuss their elderly father's illness at the dining table. Xiaoxin mentions that her work pressure is high, and Xinhua works in another city and cannot always accompany their father. Xinhua suddenly turns his gaze to Dalong, who is playing games in the corner, and then looks at Xiaoxin. Xinhua sighs, walks to Dalong, and loudly asks Xiaoxin, ""Does the medicine at home match well?"" Dalong previously concentrates on the game and does not notice the expressions of his brother and sister. Now he raises his head when he hears Xinhua's question.","Xinhua looks at Dalong playing games and then asks Xiaoxin about the medicine, what is the reason?",Xinhua tries to remind Dalong of their topic by changing the subject.,Xinhua wants to confirm that Xiaoxin handles everything well and does not need Dalong's help.,Xinhua tries to guide Dalong to understand that he needs to take responsibility for taking care of his father.,Xinhua wants to close the distance with Dalong and make him feel included.,C
"Xinhua and Xiaoxin discuss their elderly father's illness at the dining table. Xiaoxin mentions that her work pressure is high, and Xinhua works in another city and cannot always accompany their father. Xinhua suddenly turns his gaze to Dalong, who is playing games in the corner, and then looks at Xiaoxin. Xinhua sighs, walks to Dalong, and loudly asks Xiaoxin, ""Does the medicine at home match well?"" Dalong previously concentrates on the game and does not notice the expressions of his brother and sister. Now he raises his head when he hears Xinhua's question.",What do you think Dalong's mood is?,"Dalong feels confused, he does not understand what his brother wants to express, and he does not understand what his responsibility is.","Dalong feels neglected, he thinks his family ignores him.",Dalong feels disappointed in his biological siblings because they do not directly ask him for help.,"Dalong thinks he may need to take on more responsibilities, but he is not ready yet.",A
"In the evening, mom is cooking in the kitchen, Xiao Ming and the nanny sit around the dining table eating. Xiao Ming picks up a piece of fish, holds it in mid-air, his eyebrows are furrowed, there are many bones in the fish. Mom notices Xiao Ming's action, she looks at Xiao Ming, yells, then looks at the nanny who is eating attentively. The nanny is a bit surprised when she hears the yell, she looks at Xiao Ming, tells Xiao Ming to put the fish back.",Why does mom look at the nanny after yelling?,Mom realizes that she treats the nanny poorly and fears the nanny quits.,Mom just wants to care about the nanny's work status.,Mom hopes to express dissatisfaction in this way because the nanny does not notice the danger.,Mom wants to help the nanny solve her troubling problems.,C
"In the evening, mom is cooking in the kitchen, Xiao Ming and the nanny sit around the dining table eating. Xiao Ming picks up a piece of fish, holds it in mid-air, his eyebrows are furrowed, there are many bones in the fish. Mom notices Xiao Ming's action, she looks at Xiao Ming, yells, then looks at the nanny who is eating attentively. The nanny is a bit surprised when she hears the yell, she looks at Xiao Ming, tells Xiao Ming to put the fish back.",What do you think the nanny thinks?,"The nanny feels relieved, she thinks the employer cares about her.","The nanny possibly feels happy, because Xiao Ming's mom wants to improve her working conditions.","The nanny feels guilty and uneasy, because she does not fulfill her job duties.","The nanny feels pressured, because she thinks she cannot solve Xiao Ming's picky eating problem.",C
"Today is the weekend, the whole family is together enjoying dinner. The dinner is going very well, everyone is talking about the fun things of the day. Today, Little Flower does not pick out the vegetables from her bowl and throw them away as usual, she eats them all. Xiao Ming looks at Little Flower, smiles, and says, ""Little Flower is definitely having a great time today, right?"" Little Flower looks at him in surprise, wondering how he knows about her private joy time? Dad does not notice that Little Flower finishes her vegetables, but he sees the interaction between the two children.","Why does Xiao Ming look at Little Flower and smile, and say ""Little Flower is definitely having a great time today, right?""?","Xiao Ming just wants to tease Little Flower, there is no other special meaning.","Xiao Ming sees Little Flower eating happily, thinking that the food mom makes makes Little Flower happy today.",Xiao Ming guesses that Little Flower has a great time outside during the day based on her not being picky about food.,"Xiao Ming just praises Little Flower through this sentence, hoping she eats more vegetables.",C
"Today is the weekend, the whole family is together enjoying dinner. The dinner is going very well, everyone is talking about the fun things of the day. Today, Little Flower does not pick out the vegetables from her bowl and throw them away as usual, she eats them all. Xiao Ming looks at Little Flower, smiles, and says, ""Little Flower is definitely having a great time today, right?"" Little Flower looks at him in surprise, wondering how he knows about her private joy time? Dad does not notice that Little Flower finishes her vegetables, but he sees the interaction between the two children.",What do you think Dad feels at this moment?,"Dad thinks Little Flower likes to eat vegetables, he is very satisfied.","Dad feels a bit confused about Xiao Ming's words, he does not know why he says that.","Dad thinks he should ask Little Flower what happens, he feels worried.","Dad is very satisfied with Little Flower's behavior of not being picky about food, he hopes Xiao Ming praises Little Flower more.",B
"On the day of the college entrance examination mobilization meeting, the teacher sits at the front of the classroom, preparing to convey the importance of the college entrance examination to parents. Xiao Ming's mother and other parents sit in the back, discussing various topics enthusiastically. The mother occasionally looks back at Xiao Ming sitting in the corner, then smiles at him gently. Xiao Ming notices this action, but does not speak. As the teacher starts to introduce, the mother focuses her attention on his words. During this time, the mother often turns her gaze to Xiao Ming, and the corners of her mouth rise slightly. After the mobilization meeting ends, the mother stays to communicate further with the teacher.","Why does the mother occasionally look at Xiao Ming, and the corners of her mouth rise slightly?","The mother finds Xiao Ming's behavior interesting, so she smiles at him.","The mother immerses in her love for Xiao Ming, her eyes are full of motherly love.","The mother encourages Xiao Ming with this smile, hinting that he does not need to feel too much pressure about the mobilization meeting.","The mother looks at Xiao Ming, asking him to focus on what the teacher says.",C
"On the day of the college entrance examination mobilization meeting, the teacher sits at the front of the classroom, preparing to convey the importance of the college entrance examination to parents. Xiao Ming's mother and other parents sit in the back, discussing various topics enthusiastically. The mother occasionally looks back at Xiao Ming sitting in the corner, then smiles at him gently. Xiao Ming notices this action, but does not speak. As the teacher starts to introduce, the mother focuses her attention on his words. During this time, the mother often turns her gaze to Xiao Ming, and the corners of her mouth rise slightly. After the mobilization meeting ends, the mother stays to communicate further with the teacher.",What do you think Xiao Ming's mood is after the mobilization meeting ends?,"Xiao Ming is scared, afraid that his mother will discover his bad performance in school through the mobilization meeting.","Xiao Ming is very happy, because he feels that his mother pays a lot of attention to him and spoils him.","Xiao Ming is a bit anxious, not clear about what his mother and teacher are communicating.","Xiao Ming does not care, he does not care about his mother's reaction or opinion.",C
"Xiaohua always wants to go mountain climbing. On Friday night, the whole family sits around the dinner table, and mom and Xiaohua discuss the weekend plans together. Xiaohua is about to propose to go mountain climbing, but then he sees his little brother Xiaoyu in the stroller and starts to think. After a while, Xiaohua tells his mom that he wants the whole family to go to the amusement park this weekend. Mom is busy preparing dinner at the time and does not see Xiaohua's series of actions.",Why does Xiaohua hesitate to speak?,Xiaohua sees something shocking at this moment.,Xiaohua possibly thinks that mom does not want to go mountain climbing and will not accept his suggestion.,"Xiaohua thinks about the bad weather, if it rains it may affect mountain climbing.",Xiaohua thinks that mountain climbing is not suitable for his little brother Xiaoyu.,D
"Xiaohua always wants to go mountain climbing. On Friday night, the whole family sits around the dinner table, and mom and Xiaohua discuss the weekend plans together. Xiaohua is about to propose to go mountain climbing, but then he sees his little brother Xiaoyu in the stroller and starts to think. After a while, Xiaohua tells his mom that he wants the whole family to go to the amusement park this weekend. Mom is busy preparing dinner at the time and does not see Xiaohua's series of actions.",What does mom possibly think at this time?,Mom feels nervous and anxious about the unknown weekend plans.,Mom worries about whether Xiaohua can take good care of his little brother Xiaoyu.,Mom prepares dinner and thinks about the amusement park proposal.,Mom feels relieved that Xiaohua chooses not to go hiking.,C
"Wenhao and Park Zhi are Hanxiao's sons. Today is Hanxiao's birthday. Wenhao and Park Zhi always whisper in the room, not letting Hanxiao get close. Whenever Hanxiao walks into the room, they quickly turn off the computer screen, then smile at Hanxiao, as if nothing happens. At dinner, Park Zhi secretly glances at Wenhao, leaves the room, as if there is an urgent matter to deal with. Hanxiao sees the mysterious behavior of his sons and is confused.",Why does Park Zhi secretly look at Wenhao at dinner and then leave?,Park Zhi suddenly receives a call from a friend and needs to leave to answer.,Park Zhi is preparing a birthday party that Hanxiao does not know about.,Park Zhi hints to Wenhao that they need to secretly play on the computer later.,"Park Zhi finds out that Wenhao has a secret, he signals to Wenhao that he knows.",B
"Wenhao and Park Zhi are Hanxiao's sons. Today is Hanxiao's birthday. Wenhao and Park Zhi always whisper in the room, not letting Hanxiao get close. Whenever Hanxiao walks into the room, they quickly turn off the computer screen, then smile at Hanxiao, as if nothing happens. At dinner, Park Zhi secretly glances at Wenhao, leaves the room, as if there is an urgent matter to deal with. Hanxiao sees the mysterious behavior of his sons and is confused.",What do you think Hanxiao thinks?,"Hanxiao feels curious about her sons' actions, possibly a bit confused.","Hanxiao thinks her sons hide a bad secret, feels a bit worried.","Hanxiao thinks her sons are addicted to computer games and do not study, feels a bit angry","Hanxiao feels at ease, because she trusts her sons.",A
"Mr. Chen and Mrs. Chen are discussing privately in the bedroom. At the dining table, Xiao Jie and Xiao Ru are doing their homework. Suddenly, Mr. Chen comes out of the bedroom, gives Mrs. Chen a look, then looks at the children, Xiao Jie and Xiao Ru also notice his look. Mr. Chen turns back to Mrs. Chen with a smile, Mrs. Chen also nods. Then, Xiao Jie and Xiao Ru see their parents pick up the family calendar and pen, and start to mark a few days.",Why does Mr. Chen smile at Mrs. Chen and look at the children?,Mr. Chen smiles because he thinks of a good idea to solve his work problem.,Mr. Chen smiles because he finds the children doing homework cute.,Mr. Chen smiles at Mrs. Chen because they arrange some surprise for the children on a certain day.,Mr. Chen smiles because he wants Mrs. Chen to help supervise the children's study.,C
"Mr. Chen and Mrs. Chen are discussing privately in the bedroom. At the dining table, Xiao Jie and Xiao Ru are doing their homework. Suddenly, Mr. Chen comes out of the bedroom, gives Mrs. Chen a look, then looks at the children, Xiao Jie and Xiao Ru also notice his look. Mr. Chen turns back to Mrs. Chen with a smile, Mrs. Chen also nods. Then, Xiao Jie and Xiao Ru see their parents pick up the family calendar and pen, and start to mark a few days.",What do you think Xiao Jie and Xiao Ru are thinking?,"Xiao Jie and Xiao Ru feel a bit confused, not knowing why their parents are looking at the calendar at this time.","Xiao Jie and Xiao Ru are very happy, because they think their parents might be planning to give them more playtime.","Xiao Jie and Xiao Ru feel worried, because they worry that their parents are arranging more study tasks.","Xiao Jie and Xiao Ru do not care, they only focus on their work.",A
"Dad sits on the sofa reading the newspaper, Xiao Ming eats dinner at the side, seeming a bit distracted. Xiao Qiang is Xiao Ming's older brother, he notices his younger brother's mood. At this moment, mom walks in and gives dad a cup of tea, and glances at Xiao Ming, Xiao Qiang catches mom's look. Then Xiao Qiang and mom make eye contact, points at Xiao Ming, and then leaves the room. Dad sees the eye contact between Xiao Qiang and mom, watches Xiao Qiang leave the room, picks up the newspaper again, his eyes occasionally glance at Xiao Ming.",Why does mom look at Xiao Ming after she gives dad tea?,Mom just casually looks at what Xiao Ming is doing.,Mom possibly asks dad if he notices that Xiao Ming eats too little.,Mom hints that Xiao Ming should put down the spoon and talk to dad.,Mom senses Xiao Ming's distracted state.,D
"Dad sits on the sofa reading the newspaper, Xiao Ming eats dinner at the side, seeming a bit distracted. Xiao Qiang is Xiao Ming's older brother, he notices his younger brother's mood. At this moment, mom walks in and gives dad a cup of tea, and glances at Xiao Ming, Xiao Qiang catches mom's look. Then Xiao Qiang and mom make eye contact, points at Xiao Ming, and then leaves the room. Dad sees the eye contact between Xiao Qiang and mom, watches Xiao Qiang leave the room, picks up the newspaper again, his eyes occasionally glance at Xiao Ming.",What does dad possibly think now?,Dad is seriously reading the content on the newspaper.,Dad is curious about why Xiao Qiang leaves the room.,Dad is carefully tasting the tea mom makes for him.,Dad possibly wants to chat with Xiao Ming.,D
"Daxiong and Xiaozhi are good friends, they often go out to play together. A-Ming is their classmate, he is always with Xiaozhi every day. One day, Daxiong meets A-Ming in the corridor, but Xiaozhi is not with him. A-Ming looks out the window with a gloomy face. Daxiong asks A-Ming: ""How is Xiaozhi?"" A-Ming swallows and looks into Daxiong's eyes and says: ""Xiaozhi... I am not clear either."" A-Ming's answer confuses Daxiong. Later, Daxiong sees Xiaozhi sitting in the corner of the classroom, looking sad. Daxiong walks over, but Xiaozhi pretends not to see.",Why does Daxiong ask A-Ming how Xiaozhi is?,"Daxiong just asks casually, wants to tease A-Ming.",Daxiong wants to understand the situation of Xiaozhi.,Daxiong wants to inquire about the relationship between A-Ming and Xiaozhi.,"Daxiong admires the friendship between A-Ming and Xiaozhi, wants to get involved.",B
"Daxiong and Xiaozhi are good friends, they often go out to play together. A-Ming is their classmate, he is always with Xiaozhi every day. One day, Daxiong meets A-Ming in the corridor, but Xiaozhi is not with him. A-Ming looks out the window with a gloomy face. Daxiong asks A-Ming: ""How is Xiaozhi?"" A-Ming swallows and looks into Daxiong's eyes and says: ""Xiaozhi... I am not clear either."" A-Ming's answer confuses Daxiong. Later, Daxiong sees Xiaozhi sitting in the corner of the classroom, looking sad. Daxiong walks over, but Xiaozhi pretends not to see.",What do you think Xiaozhi thinks?,"Xiaozhi thinks life is beautiful, so he thinks about the meaning of life.","Xiaozhi is unhappy because of some troubles, he does not want to talk to Daxiong.","Xiaozhi fears that A-Ming reveals his secret, so he worries.","Xiaozhi is surprised by the arrival of Daxiong, so he pretends not to see Daxiong.",B
"Jojo is the class president, Tingting is her best friend, and Lingling is the new student in their class. Jojo is preparing for the weekend party, she looks at the invitation list in her hand, and adds Lingling's name under Tingting's name. Tingting sees Jojo writing Lingling's name, she glares at Jojo and turns her head without speaking anymore. Then, Jojo looks at Tingting, and then at Lingling, and still decides to send out the invitation. When Lingling receives the invitation, she sees the eye contact between Jojo and Tingting.",Why does Jojo decide to invite Lingling regardless of Tingting's attitude?,Jojo thinks that inviting more people makes the party more interesting.,Jojo wants to have a good time with Lingling at the party.,"Jojo is the class president, her sense of responsibility prevails, she wants Lingling to quickly integrate into the class through the party.",Jojo wants to provoke Tingting by inviting Lingling.,C
"Jojo is the class president, Tingting is her best friend, and Lingling is the new student in their class. Jojo is preparing for the weekend party, she looks at the invitation list in her hand, and adds Lingling's name under Tingting's name. Tingting sees Jojo writing Lingling's name, she glares at Jojo and turns her head without speaking anymore. Then, Jojo looks at Tingting, and then at Lingling, and still decides to send out the invitation. When Lingling receives the invitation, she sees the eye contact between Jojo and Tingting.",How does Lingling feel when she sees all this?,"Lingling feels excited about this, looking forward to the weekend party.","Lingling feels a bit conflicted, she appreciates Jojo giving her the opportunity, but she does not want to upset Tingting.","Tingting feels indifferent about this, she does not care who attends the party.","Lingling feels annoyed about this, because she does not want to get involved in the conflict between Jojo and Tingting.",B
"Xinyue and Xueying are good friends in the class. A new semester comes, a new classmate named Qing Shi joins the class, he is introverted and finds it hard to fit into the class. One day at noon, Xinyue and Xueying see him eating lunch alone in the corner, the two look at each other, Xueying nods slightly, then they walk towards Qing Shi together. Qing Shi sees this and shows confusion. Xinyue and Xueying come over, first they chat with him, then suddenly tell a joke, all three of them start to laugh.",Why do Xinyue and Xueying look at each other and then walk towards Qing Shi together?,Xinyue and Xueying find that Qing Shi's lunch is delicious.,Xinyue and Xueying want to do homework with Qing Shi.,Xinyue and Xueying plan to make Qing Shi laugh together to get closer.,Xinyue and Xueying intend to bully the lonely Qing Shi.,C
"Xinyue and Xueying are good friends in the class. A new semester comes, a new classmate named Qing Shi joins the class, he is introverted and finds it hard to fit into the class. One day at noon, Xinyue and Xueying see him eating lunch alone in the corner, the two look at each other, Xueying nods slightly, then they walk towards Qing Shi together. Qing Shi sees this and shows confusion. Xinyue and Xueying come over, first they chat with him, then suddenly tell a joke, all three of them start to laugh.","Qingshi sees Xinyue and Xueying coming, what do you think his mood is like at this moment?",He feels scared because he does not know what Xinyue and Xueying plan to do.,"He feels curious, but also a bit nervous.","He panics, he is afraid of being excluded.","He is excited, he looks forward to more communication with new friends.",B
"Hua Hua and Li Li are good friends of Yi Jia. Today, they decide to visit the sick Yi Jia in the hospital. They do not tell Yi Jia in advance before they go. When Hua Hua and Li Li arrive at the hospital, they see Yi Jia sitting on a chair in the hospital room, seemingly crying. Hua Hua enters the room first and waves to Yi Jia. Seeing that Yi Jia's reaction is a bit hesitant, Hua Hua gives Li Li a look, then smiles at Yi Jia. Li Li looks at Hua Hua, then looks at Yi Jia, and decides to wait in the corridor.",Why does Hua Hua give Li Li a look?,"Hua Hua thinks Yi Jia needs quiet now, so she decides to let Li Li wait in the corridor.",Hua Hua wants to share the joy that Yi Jia looks better than expected with Li Li.,"Hua Hua thinks Li Li should not make noise at the bedside of Yi Jia, so she gives him a look.","Hua Hua feels that Yi Jia does not want Li Li to see her, so she signals Li Li to leave.",A
"Hua Hua and Li Li are good friends of Yi Jia. Today, they decide to visit the sick Yi Jia in the hospital. They do not tell Yi Jia in advance before they go. When Hua Hua and Li Li arrive at the hospital, they see Yi Jia sitting on a chair in the hospital room, seemingly crying. Hua Hua enters the room first and waves to Yi Jia. Seeing that Yi Jia's reaction is a bit hesitant, Hua Hua gives Li Li a look, then smiles at Yi Jia. Li Li looks at Hua Hua, then looks at Yi Jia, and decides to wait in the corridor.",What do you think Yi Jia is thinking?,"Yi Jia feels angry, she does not like these two friends coming to see her without telling her in advance.","Yi Jia feels surprised by the arrival of Hua Hua and Li Li, she may want to be alone for a while.","Yi Jia feels happy about the arrival of Hua Hua and Li Li, she hopes they can accompany her.","Yi Jia feels puzzled about the arrival of Hua Hua and Li Li, she does not know why they come.",B
"Xiao Ming, Xiao Li, and Xiao Zhang are elementary school students, they often play games together after school. This day, while they are playing on the swing, Xiao Ming sneakily glances at a big apple tree not far from his home. He gives Xiao Li and Xiao Zhang each a candy, then points at the apples on the tree, shows a smile, and turns his head to look at Xiao Li and Xiao Zhang. Xiao Li and Xiao Zhang, upon hearing this, look at the big apple tree, then look at each other and nod.","Why does Xiao Ming give Xiao Li and Xiao Zhang candy, and point at the apple tree in the direction of his home with a smile?","Xiao Ming likes to share candy with good friends, he points at the apple tree just to share the beautiful natural scenery with them.",Xiao Ming wants Xiao Li and Xiao Zhang to help him with work.,"Xiao Ming hopes they notice the beautiful scenery towards his home, thereby leading them to play there.",Xiao Ming hopes to invite Xiao Li and Xiao Zhang to his home to eat apples.,B
"Xiao Ming, Xiao Li, and Xiao Zhang are elementary school students, they often play games together after school. This day, while they are playing on the swing, Xiao Ming sneakily glances at a big apple tree not far from his home. He gives Xiao Li and Xiao Zhang each a candy, then points at the apples on the tree, shows a smile, and turns his head to look at Xiao Li and Xiao Zhang. Xiao Li and Xiao Zhang, upon hearing this, look at the big apple tree, then look at each other and nod.",What do you think Xiao Li and Xiao Zhang are thinking?,Xiao Zhang and Xiao Li are about to set off to help Xiao Ming work.,Xiao Zhang and Xiao Li do not understand what Xiao Ming wants to do.,Xiao Li and Xiao Zhang want to go to Xiao Ming's house to play.,Xiao Li and Xiao Zhang want to eat the apples right away.,A
"Yilin, Siya and Jingjing are friends, but recently Siya misunderstands Jingjing. One day, they are in the library. Yilin, who is studying, sees Jingjing coming over, Jingjing's face looks a bit strange. Siya is looking for study materials, Jingjing sees it and immediately turns her head and leaves. Yilin looks at Jingjing's back, sighs deeply, and looks at Siya not far away, her eyes hint at something. Siya looks at Yilin's actions, but does not take any action. Yilin silently shakes her head and continues to study.",Why does Yilin look at Siya?,Yilin hopes that Siya can chat with her about what happens between her and Jingjing.,"Yilin notices that Siya is looking at her, so she turns her head to look at her.",Yilin hopes that Siya can see Jingjing's situation and try to resolve the misunderstanding.,Yilin hopes that Siya continues to study seriously and does not get disturbed by Jingjing's arrival.,C
"Yilin, Siya and Jingjing are friends, but recently Siya misunderstands Jingjing. One day, they are in the library. Yilin, who is studying, sees Jingjing coming over, Jingjing's face looks a bit strange. Siya is looking for study materials, Jingjing sees it and immediately turns her head and leaves. Yilin looks at Jingjing's back, sighs deeply, and looks at Siya not far away, her eyes hint at something. Siya looks at Yilin's actions, but does not take any action. Yilin silently shakes her head and continues to study.",How do you think Yilin feels?,Yilin feels angry because Siya ignores her gaze and hints.,Yilin feels confused because she does not know why Siya and Jingjing become like this.,"Yilin feels helpless because Siya ignores her hints, she cannot help the two friends reconcile.",Yilin feels happy because her relationship with Siya does not receive any impact.,C
"Xiao Ming and Xiao Gang are good friends, they walk home together every day. They notice that Xiao Guang, who just moves in, takes the same route. One day, they see Xiao Guang walking alone ahead, Xiao Ming gives Xiao Gang a look, then chuckles. They quicken their pace, walk up to Xiao Guang, and start to talk to him. At first, Xiao Guang just smiles in response to their words. But gradually, he starts to join their conversation, they walk home together.",Why does Xiao Ming chuckle at Xiao Gang?,Xiao Ming finds something Xiao Gang says earlier is interesting.,Xiao Ming finds it somewhat funny that Xiao Guang walks alone.,"Xiao Ming chuckles at Xiao Gang, indicating they can try to make friends with Xiao Guang.","Xiao Ming chuckles at Xiao Gang, indicating he wants to play a joke on Xiao Guang.",C
"Xiao Ming and Xiao Gang are good friends, they walk home together every day. They notice that Xiao Guang, who just moves in, takes the same route. One day, they see Xiao Guang walking alone ahead, Xiao Ming gives Xiao Gang a look, then chuckles. They quicken their pace, walk up to Xiao Guang, and start to talk to him. At first, Xiao Guang just smiles in response to their words. But gradually, he starts to join their conversation, they walk home together.",What do you think Xiao Guang feels when he suddenly sees Xiao Ming and Xiao Gang?,"Xiao Guang feels curious and confused, unsure of their intentions.","Xiao Guang feels happy, because they might invite him to walk together.","Xiao Guang feels nervous, because he is not ready to make friends with them yet.","Xiao Guang feels worried, fearing they might bully him.",A
"In a clear morning, Morning Light is waiting for Dawn in the corridor. They are members of the study club, they plan to attract new members to join. Star is a new classmate who just transfers. Star is walking along the corridor. Morning Light sees Star, quickly glances at Dawn, then smiles at Star. Dawn understands the meaning of Morning Light's eyes, walks to Star with a nervous expression, and matches Morning Light's smile. After a brief conversation with Star, Star responds with a smile.",Why does Morning Light glance at Dawn after seeing Star?,Because Morning Light notices that Dawn's attitude towards Star is a bit abnormal.,"To remind Dawn that Star is coming, do not block the way.","To remind Dawn that the study club needs new members, and Star is suitable.","To tell Dawn that Star is a new classmate, it is best to say hello.",C
"In a clear morning, Morning Light is waiting for Dawn in the corridor. They are members of the study club, they plan to attract new members to join. Star is a new classmate who just transfers. Star is walking along the corridor. Morning Light sees Star, quickly glances at Dawn, then smiles at Star. Dawn understands the meaning of Morning Light's eyes, walks to Star with a nervous expression, and matches Morning Light's smile. After a brief conversation with Star, Star responds with a smile.","Seeing their interaction as Star walks down the hallway, what do you think he feels?","Feels surprised, he does not expect them to take the initiative to talk to him.","Feels confused and curious, not clear about the meaning of their actions.","Feels nervous, because he is new and is not ready to make friends with everyone.","Feels very happy, because he thinks they might invite him to play.",B
"Xiaohua and Xiaogang are in the corner of the classroom, watching Xiaoli who is dozing off on the seat. Xiaoli has to prepare for an important exam recently, but he is sick and obviously feels uncomfortable. Suddenly, Xiaohua looks at Xiaogang, their eyes meet. In a blog, they find efficient learning materials for the course. He smiles at Xiaogang and nods. Then they walk towards Xiaoli, with Xiaogang holding the magazine in front.",Why does Xiaohua smile at Xiaogang?,Xiaohua wants Xiaogang to wake up Xiaoli.,Xiaohua smiles at Xiaogang because they find a way to help Xiaoli.,Xiaohua wants to share some fun things with Xiaogang.,"Xiaohua wants to form a study group with Xiaogang and Xiaoli, and work hard together.",B
"Xiaohua and Xiaogang are in the corner of the classroom, watching Xiaoli who is dozing off on the seat. Xiaoli has to prepare for an important exam recently, but he is sick and obviously feels uncomfortable. Suddenly, Xiaohua looks at Xiaogang, their eyes meet. In a blog, they find efficient learning materials for the course. He smiles at Xiaogang and nods. Then they walk towards Xiaoli, with Xiaogang holding the magazine in front.",What do you think Xiaoli thinks?,Xiaoli possibly thinks they come to mock him for dozing off before the exam.,"Xiaoli possibly thinks they prepare to say something to him, but still feels a bit confused.",Xiaoli possibly thinks they want to show him a boring magazine.,"Xiaoli possibly thinks they just pass by, not coming to find him.",B
"Huahua feels a bit down after Liangliang accidentally loses his pet puppy, and Liangliang is always working hard to find the puppy. Yuwen knows this situation, looks at the silent Huahua, he turns his head and talks to Liangliang who sits next to Huahua. Yuwen casually takes out a football from his backpack, Liangliang immediately recognizes that this is the football that Huahua always wants to buy but does not have the money to buy. Yuwen gives a slight smile to Liangliang, then gently places the football next to Liangliang, then turns his head back to read a book carelessly, as if nothing happens. Huahua looks at Yuwen with confusion. Liangliang also looks at Yuwen, their eyes meet, Liangliang nods.",Why does Yuwen smile and put the football next to Liangliang?,"Yuwen always wants to give this football to Huahua, but he is a bit shy, he wants Liangliang to help deliver it.","Yuwen wants to play football with Liangliang, so he puts the football next to Liangliang.","Yuwen tries to attract Liangliang's attention with the football, he wants Liangliang and Huahua to have some other topics to talk about, to ease their conflict.","Yuwen wants to let Liangliang know that he has this football, to make Liangliang feel envious.",C
