index,STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,ANSWER,SOURCE_FILE,qwen2_5_7b_instruct_noCoT_full_response,qwen2_5_7b_instruct_noCoT_response,qwen2_5_7b_instruct_noCoT_truncation,qwen2_5_7b_instruct_noCoT_prompt_tokens,qwen2_5_7b_instruct_noCoT_output_tokens
560,"Xiao Li finds a drawer in the lounge, the label on the drawer is buttons, Xiao Li cannot see what is inside the drawer, Xiao Li opens the drawer and finds a cup, there are no buttons in the drawer, Xiao Li closes the drawer and puts it back in its place, Xiao Bei enters the lounge and sees the drawer.","After Xiao Bei opens the drawer, what does Xiao Li expect to find in the drawer?",Cup,Thermometer,Cabbage,Button,A,False Belief Task," [[D]] Based on the story, Xiao Li put the cup back in the drawer after finding no",D,True,342,20
563,"On Saturday noon, the gathering takes place in the private room of Sea Moon. The company department has a meal together here today. Manager Li goes home to visit his family because something happens at home, so he does not attend this meal. During the meal, Miss Zhao sees Manager Li's seat is empty, so she asks Mr. Zhang sitting next to her: ""Mr. Zhang, do you know why Manager Li does not attend the meal?"" Mr. Zhang puts down his chopsticks, thinks for a while and says: ""I remember Manager Li says he goes home to visit his family this weekend, so he probably does not come because of this reason."" Miss Zhao nods: ""I see.""",Does Mr. Zhang know that Manager Li does not attend because he is too busy with overtime work?,He knows,He does not know,,,A,Faux-pas Recognition Test, [[B]] A. He knows - There is no information in the story suggesting that Mr. Zhang,B,True,417,20
566,"Zhang San and Li Si are good brothers. This day, they go to drink and eat skewers. After it ends, Li Si wants to drive home, Zhang San discourages, but Li Si indicates he knows someone in the traffic police team.",How does Zhang San convince Li Si?,"Express his real worries, like: ""I really worry about you, I don't want to lose my good friend because of this.""","Suggest to rest for a while, then drive home after the alcohol wears off.","Remind Li Si, driving after drinking is not only a legal issue, accidents easily happen.","Tell Li Si, even if he knows the traffic police, they can't help him every time.",C,Persuasion Story Task," [[A]] Based on the story, Zhang San is likely to express his real worries about Li Si",A,True,390,20
567,"Zhou Yu wants to go out, but he feels stomachache. He knows, if he tells his mother he has a stomachache, his mother says he cannot go out. He tries to hide his feelings, letting his mother let him go out of the house.",What are Zhou Yu's real feelings?,Angry,Happy,Sad,Anxious,C,Hidden emotions," [[D]] Based on the story, Zhou Yu is trying to hide his stomachache to go out",D,True,316,20
569,"Lele and Huanhuan are classmates, they are planning a course project. When they discuss the division of labor for the project, they worry about who to take on the role of host, then they look at Minmin. Minmin is their good friend and is also the main person in charge of this activity. Lele looks at Huanhuan, seems to wait for some response, Huanhuan shakes his head. Then Lele makes a gesture of looking around, Huanhuan shrugs when he sees it, and nods again. Minmin is doing homework seriously, she does not pay attention to the surrounding scene.",What do you think Minmin is thinking now?,Minmin feels nervous because she thinks there may be problems with the project.,"Minmin feels confused, she does not understand the meaning of the eye contact between Lele and Huanhuan.",Minmin does not know that Lele and Huanhuan are going to invite her as the host.,"Minmin is happy about their behavior, she thinks they are appreciating her work.",C,Ambiguous Story Task, [[B]] [[D]] [[C]] [[A]] [[B]] [[C]] [[D,B,True,467,20
570,"Xiao Hong is a 6-year-old child. Today is Saturday. Mom and Dad have free time today, they do not know what they can do together. Maybe go for ice cream? Xiao Hong really, really wants to go to the amusement park today. However, Dad thinks the amusement park has a lot of noise. He says: ""Xiao Hong, this is not a good idea. I think there is a lot of noise in the amusement park.""",How does Xiao Hong persuade her dad?,"Xiao Hong can look up some information, proving that the current amusement parks take many measures to reduce noise, such as setting up soundproof walls, using quieter equipment, etc.","Xiao Hong can tell her dad that she has not been to the amusement park for a long time, this is a very special wish for her, she really wants to go.","If Dad really does not want to go to the amusement park, Xiao Hong can suggest going to other places, such as parks or zoos, so everyone is happy.","Xiao Hong can suggest: ""How about we go in the early morning or on weekdays? I hear that there are fewer people at that time, and it is quieter. We can avoid peak hours, and get a quieter experience.""",B,Persuasion Story Task," [[D]]
You are a helpful assistant.",D,False,500,10
580,"In a zoo, the zookeeper Xiao Chen is preparing for the new animals. He says to the veterinarian Xiao Lin, ""We have 50 animals that need to be checked, most are lions, some are giraffes, but there are almost no zebras."" Xiao Lin checks and finds that there are only 15 giraffes.","After checking, how many lions does Xiao Lin estimate need to be checked?","After checking, Xiao Lin estimates that 40 lions need to be checked.","After checking, Xiao Lin estimates that 35 lions need to be checked.","After checking, Xiao Lin estimates that 32 lions need to be checked.","After checking, Xiao Lin estimates that 45 lions need to be checked.",C,Scalar Implicature Test," [[A]] Based on the information provided, if there are 50 animals in total and ",A,True,398,20
582,"At the company project success celebration, Manager Li praises the team's efforts, especially mentions the R&D group's Xiao Ling. Xiao Ling says, ""Thank you everyone, we all put in a lot, but I am happy to push the project forward at a critical moment."" Director Zhang does not speak in the crowd.",Does anyone say something inappropriate in this story?,Someone in the story says something inappropriate.,No one in the story says anything inappropriate.,,,A,Faux-pas Recognition Test," [[B]] Based on the story, there is no indication that anyone says something inappropriate. [[B",B,True,340,20
584,"Liu Yang and Wang Gang participate in a basketball game together. Liu Yang, as the captain, puts in a lot of effort and leads the basketball team to win the final victory. Wang Gang plays very well and wins the MVP. Liu Yang says to Wang Gang, ""I am so happy, you are really great, congratulations!"" But he says to his mother, ""I feel I am not performing well, I am a bit depressed.""",Is what Liu Yang says to his mother true?,Yes,No,,,A,Strange Story Task," [[B]] Based on the story, Liu Yang is the captain and acknowledges that he put in a",B,True,351,20
589,"Dehua and Sanming are company employees, they are competing for a promotion opportunity. Today is Sanming's birthday, he is enjoying a small birthday cake alone. Lingling is the company supervisor, she is having a private conversation with Dehua in the pantry. Sanming sees from a distance that Lingling quietly gives Dehua a document, and with a smile, gently pats Dehua's back, then returns to her office. Dehua quickly checks the document, shows a smile, and carefully puts the document into his file bag.",What does Sanming do next?,He directly asks Lingling about the content of the document to get the truth.,"He reveals his suspicion to colleagues that Dehua might get a promotion, hoping colleagues can give advice or support.","He reminds himself that there is no solid evidence to prove that the document is related to the promotion, maybe Lingling is just doing her routine work.","He temporarily does not consider this matter, instead, he focuses on completing his own work, or doing some activities he likes.",B,Emotion Regulation, [[D]] [[D]] [[D]] [[D]] [[D]] [[D]] [[D,D,True,457,20
593,"In a lush forest on the planet of Virdana, there lives a small and agile robot named Blink. Virdana is a planet rich in vegetation, but completely devoid of any animal life, which means Blink knows nothing about animals or their behaviors. However, many unique and vibrant plants live in this forest, including some that move and interact with the environment. Blink is always full of curiosity and often imitates these movements. Blink is performing an imitation behavior: it squats down and then jumps high, over and over again, this action reminds people of a frog jump.",What is Blink likely imitating?,The jump of a kangaroo.,The jump of a frog.,A bouncing ball.,The opening and closing of a Venus flytrap.,D,Knowledge-pretend play links," [[B]] Based on the story, Blink is performing an imitation behavior that reminds people of a frog",B,True,398,20
595,"Zhang Hua is a student who loves painting, he is painting a picture about the ocean at home. Suddenly, his good friend Li Lei calls, saying his bicycle breaks down on the road, he needs help. Zhang Hua agrees to help, after hanging up the phone, he turns around and sees the sunset outside the window. He considers whether to finish the painting first, but at the same time he remembers there is an important painting competition tomorrow. His mother is busy preparing dinner in the kitchen, she calls him to help.","After Zhang Hua hangs up the phone, what does he do next?",He goes to help Li Lei fix the bicycle.,He goes to the kitchen to help his mother cook.,He watches the sunset outside the window.,He prepares for the painting competition tomorrow.,A,Completion of failed actions," [[C]] Based on the story, after Zhang Hua hangs up the phone, he turns around",C,True,408,20
596,"Zhang Wei, as the team leader, and Li Hua participate in a project competition. The project gets the first place in the group competition, and Li Hua wins the individual achievement award. Li Hua says to Zhang Wei, ""I am really happy, you do a great job!"" Zhang Wei expresses his thanks. At night, when he returns home, Li Hua complains to his wife, ""I am really sad.""",Why does Li Hua say he is both happy and sad?,"He is happy that the group project wins the competition, but he does not win the competition himself.","He is happy that Zhang Wei does well, but he is sad that his efforts do not get recognition.","He is happy that Zhang Wei does well, but he is sad that Zhang Wei does not comfort him.","He is happy that the group project wins the competition, but he is sad that he does not win the competition himself.",B,Strange Story Task," [[D]]
You are correct. The story indicates that Li Hua is happy about the group's",D,True,435,20
598,"On Friday afternoon, the company announces the list of outstanding employees for this month, and Xiao Li finds out that he receives this honor. Xiao Li excitedly comes to the office, sees Xiao Wang is organizing files, and happily says, ""Xiao Wang, I am selected as the outstanding employee of this month, it is really unexpected!"" Xiao Wang responds with a smile, ""Congratulations, Xiao Li. You indeed work hard."" The manager comes over, pats Xiao Li's shoulder and says, ""Xiao Li, your performance this month is great, keep it up."" Xiao Li turns to Xiao Wang and says, ""Actually, I think you also qualify for this honor, you always do your job well."" Xiao Wang continues to organize the files.",Does anyone say something inappropriate in this story?,Someone says something inappropriate in the story.,No one says anything inappropriate in the story.,,,A,Faux-pas Recognition Test," [[B]] Based on the story, all the statements made by the characters are appropriate and positive.",B,True,428,20
600,"Ruru participates in a speech competition at school. She makes a mistake in her speech, and all other students perform very well. After the competition ends, the students share their performances with each other, no one makes any mistakes. Ruru tries to pretend her speech is as good as theirs",What are Ruru's real feelings?,Happy,Sad,Proud,Afraid,B,Hidden emotions," [[D]] Based on the story, Ruru is likely feeling afraid after making a mistake in her",D,True,321,20
602,"Xiao Hong finds a drawer in the reading room, the label on the drawer is banana, Xiao Hong cannot see what is inside the drawer, Xiao Hong opens the drawer and finds beetroot, there are no bananas in the drawer, Xiao Hong closes the drawer and puts it back in its place, Xiao Bei enters the reading room and sees the drawer.",What should be in the drawer?,Coconut,Banana,Beetroot,Notebook,B,False Belief Task," [[C]] Based on the story, the drawer is labeled ""banana,"" but when Xiao Hong opened",C,True,332,20
609,"During the war, the Red Army captures a member of the Blue Army. They want him to tell them where the Blue Army's tank is, they know the tank is either by the sea or in the mountains. They know the prisoner does not want to tell them, he wants to save his own army, so he definitely lies to them. The prisoner is brave and smart, he does not let them find his tank. Now when they ask him where the tank is, he says: ""In the mountains.""",Where does the Red Army go to find his tank?,In the mountains,At the sea,,,B,Strange Story Task," [[A]] The prisoner lied to the Red Army, saying the tank was in the mountains when it",A,True,370,20
611,"Xiao Gang finds a basket on the terrace, the label on the basket is shirt, Xiao Gang cannot see what is inside the basket, Xiao Gang opens the basket and finds a coconut, there is no shirt inside the basket, Xiao Gang closes the basket and puts it back in its place, Zhang Wei enters the terrace and sees the basket.","After Zhang Wei opens the basket, what does Xiao Gang expect to find inside the basket?",Vest,Tape,Shirt,Coconut,D,False Belief Task," [[C]] Based on the story, Xiao Gang initially expected to find a shirt inside the basket,",C,True,340,20
613,"Zhang Meng receives an envelope from abroad, inside is a birthday card from her cousin who she has not contacted for a long time. Zhang Meng remembers her cousin says he attends every one of Zhang Meng's birthdays, but he goes abroad and only sends a card as a gift.",What emotion should she show?,Angry,Feeling betrayed,Happy,Feeling abandoned,B,Unexpected Outcome Test," [[C]] Based on the story, Zhang Meng should feel happy upon receiving a birthday card from her",C,True,317,20
616,"On weekend nights, Xiao Li and Xiao Zhang go to a friend's party together. At the party, friends sit around and chat. A friend asks: ""How are you guys doing recently?"" Xiao Li answers with a smile: ""We are very happy, we plan to go to the beach for a vacation next month, and prepare a lot of romantic plans!"" Xiao Zhang says lightly: ""Yes, we all look forward to it."" Another friend asks: ""Wow, I really want to hear you talk in detail."" Xiao Li then starts to describe their plans in detail and some of Xiao Zhang's personal preferences, the party continues, Xiao Zhang seems a bit silent.","If there is, which sentence is inappropriate?","We are very happy, we plan to go to the beach for a vacation next month, we prepare a lot of romantic plans!","Yes, we all look forward to it.","Wow, I really want to hear you talk in detail.",There is no inappropriate sentence,A,Faux-pas Recognition Test, [[C]] [[D]] [[C]] [[A]] [[B]] [[C]] [[D,C,True,445,20
619,"On the weekend, Xiao Ming and Xiao Gang are on the basketball court. Xiao Gang says, ""My mom is sick recently, our family wants to keep this matter private."" Xiao Ming replies, ""I understand, I do not tell anyone."" In the following days, when classmates ask out of curiosity, Xiao Ming says, ""Everything is normal in Xiao Gang's family.""","If there is, which sentence is inappropriate?","My mom is sick recently, our family wants to keep this matter private.","I understand, I do not tell anyone.",Everything is normal at Xiao Gang's house.,There is no inappropriate sentence.,D,Faux-pas Recognition Test, [[C]] [[D]] [[C]] [[A]] [[B]] [[C]] [[D,C,True,371,20
621,"Xiao Li is a 5-year-old child, Xiao Ming is 10 years old, he is her brother. Xiao Li really wants to eat ice cream today, but her brother is afraid that she makes a mess everywhere with the ice cream. But Xiao Ming does not say this directly, instead, he says: ""Eating too much ice cream is not good for the body.""",How does Xiao Li convince Xiao Ming to buy her ice cream?,"If I don't have ice cream to eat, I get sick.","Brother, I eat carefully, I promise not to make a mess everywhere.","I do a lot of good things before, can brother consider it as a reward for me?","Brother, can I just eat a little bit, just a little bit, please brother~",D,Persuasion Story Task," [[B]] Based on the story, Xiao Ming is concerned about Xiao Li making a mess with the",B,True,406,20
622,"The company arranges a surprise birthday party for Xiao Zhao. Xiao Chen is in charge of the decoration, and Brother Liu goes to get the customized cake. When everything is ready, Xiao Zhao is brought to the newly decorated lounge, and everyone starts to sing the birthday song. Xiao Chen, with a smile on his face, hands Xiao Zhao a beautifully wrapped gift, saying, ""I hope you like this little token of appreciation, Xiao Zhao."" Xiao Zhao smiles and says ""thank you"" to everyone. Brother Liu happily says, ""Okay, now is the time to enjoy the cake! Let's share this sweetness together!""",Does Xiao Chen know that Xiao Zhao just breaks up?,Knows,Does not know,,,A,Faux-pas Recognition Test," [[B]] Based on the information provided in the story, there is no indication that Xiao Chen knows",B,True,391,20
630,"Xiao Li and Xiao Zhang are strolling on the balcony, they see a handbag and a basket, they find socks in the handbag, Xiao Zhang leaves the balcony, Xiao Li moves the socks to the basket.","After Xiao Zhang returns to the balcony, where does Xiao Zhang think Xiao Li looks for the socks?",Drawer,Storage cabinet,Handbag,Basket,C,False Belief Task," [[D]] Based on the story, Xiao Li moved the socks from the handbag to the basket",D,True,320,20
631,"Zhao Ting is a talented painter, her works receive the highest honor at the international art exhibition.","Zhao Ting should feel very proud, but in fact, she shows regret, why is this?","Despite the award-winning work, Zhao Ting thinks the jury's evaluation is not fair.","Zhao Ting originally hopes to increase her fame through this exhibition, but the media coverage of the exhibition is not as extensive as she expects.",Zhao Ting's mentor is unable to attend due to illness,"Zhao Ting's main competitor receives the same honor as her at the exhibition, which makes her feel her achievement is diluted.",C,Unexpected Outcome Test," [[D]] Based on the story, Zhao Ting's main competitor receiving the same honor as her at",D,True,367,20
636,"Mr. Zhang's daughter, Xiaofang, becomes the student council president at her school. This is a highly respected position, requiring excellent leadership skills and widespread support from classmates. Mr. Zhang knows this is a significant achievement for Xiaofang. However, he thinks that his daughter's role in the student council affects her studies.",What emotion does Mr. Zhang likely show about his daughter becoming the student council president?,Thrilled,Worried,Sadness,Proud,B,Unexpected Outcome Test, [[D]] [[A]] [[B]] [[C]] [[D]] [[B]] [[C,D,True,340,20
638,"Lia is a great chef, in a cooking competition, she prepares a special dish. Sam is her assistant, he accidentally adds a wrong seasoning to the dish, thinking it is Lia's instruction. Meanwhile, Chris is Lia's opponent, he knows about Sam's mistake, but decides not to tell anyone. After the competition results are announced, Lia's dish receives high praise from the judges for its unique taste, but Lia herself is confused about this unexpected change.",What is the possible intention behind Chris's action?,"Chris possibly misunderstands the competition rules, thinking he should not interfere with the opponent.",Chris possibly hopes to win Sam in the competition.,"Chris possibly thinks Sam's mistake is not important, deliberately ignoring it.",Chris possibly wants to see what effect the wrong seasoning has.,B,Discrepant intentions," [[D]] Based on the story, Chris's action of not telling anyone about Sam's mistake suggests",D,True,404,20
640,"Wang Mei and her friend Zhao Min form a team to participate in a speech competition. The speech team wins the first place, Zhao Min wins the first place individually, but Wang Mei does not make it to the top three. Wang Mei says to Zhao Min, ""I am so happy. You are great, congratulations!"" But she says to her sister, ""I am really disappointed.""",Is what Wang Mei says to her sister true?,Yes,No,,,A,Strange Story Task," [[B]] Based on the story, Wang Mei says she is disappointed to her sister, which means",B,True,340,20
649,"Flit is a curious, small, buoy-like robot with soft, glowing lights. It lives on a quiet little moon called Lumina in a distant galaxy. Lumina is a quiet place, famous for its gentle rivers. There are no large animals on Lumina, especially land mammals. Lumina is home to small, delicate creatures, such as fluttering butterflies and jellyfish-like plankton. Flit is engaging in mimicry: it gently sways back and forth, waving like a fan, similar to the action of an elephant flapping its ears.",What is Flit likely imitating?,Elephant,Fennec Fox,Jellyfish,Wind blowing through the forest,C,Knowledge-pretend play links, [[A]] The story explicitly states that Flit is engaging in mimicry and that it gently sw,A,True,382,20
651,"Teacher Lin notices that the excellent student Wang Lei's grades are slipping recently. He finds out that Wang Lei practices for a music competition until late at night. Teacher Lin decides to persuade Wang Lei, telling him about the importance of balance.",How does Teacher Lin persuade Wang Lei?,"Teacher Lin can share his own experience, telling Wang Lei about the consequences of excessive effort in the past.","Teacher Lin arranges a time management course for Wang Lei, helping him to better balance his studies and interests.","Teacher Lin shares other students' cases, telling Wang Lei how to maintain his studies while pursuing his dreams.","Teacher Lin says that he fully supports Wang Lei's decision, but hopes that he makes a wise choice.",C,Persuasion Story Task," [[D]] Based on the information provided, Teacher Lin's approach seems to be supportive but also guiding",D,True,388,20
652,"Sister Zhang is always the cooking master at home, but she catches a cold recently, and everything she eats has no taste. Today is a family gathering, her husband takes a bite of the food Sister Zhang makes and directly says, ""Do you rob the salt seller?",Is what Sister Zhang's husband says true?,Yes,No,,,B,Strange Story Task," [[A]] Based on the story, Sister Zhang's husband is questioning the amount of salt in the",A,True,316,20
656,"Zhou Zihan always feels very hungry. Today at school, he has his favorite meal - sausages and beans. He is a very greedy boy, he wants to eat more sausages than anyone else, even though his mother cooks him a delicious meal when he gets home! But everyone only gets to eat two sausages, no more. When it is Zhou Zihan's turn to serve, he says, ""Oh, can you give me four sausages, because I don't eat dinner when I get home!",Why does Zhou Zihan say this?,"Zhou Zihan tries to arouse sympathy, is deceptive, in order to eat more sausages","Zhou Zihan is a very greedy person, he wants more sausages.","His mother cooks a delicious dinner for him, so Zhou Zihan does not need extra sausages.",Zhou Zihan does not get to eat sausages when he goes home.,A,Strange Story Task," [[B]]

The story clearly states that Zhou Zihan is a very greedy boy who wants to eat",B,True,438,20
669,"Xiao Li and Xiao Wang rest by the swimming pool in the resort. They see Ah Zhen and Ah Hong reading on the loungers not far away, then they exchange a look. Xiao Wang nudges Xiao Li with his elbow, silently mouthing ""pretty girls"". Xiao Li gives a wink back, they laugh and look at each other, then carefully walk towards Ah Zhen. Ah Zhen sees their movements in the corner of her eye, then whispers a few words to Ah Hong, points at her phone, and smiles. Xiao Li and Xiao Wang come to Ah Zhen, introduce themselves and express their desire to get to know her better. At this moment, Ah Zhen's phone suddenly rings, so she stands up to answer the call.",What do you think is Ah Zhen's reaction to the two coming over?,"Ah Zhen feels happy, hoping to make new friends","Ah Zhen feels surprised, not expecting to be pursued","Ah Zhen feels a bit troubled, not wanting to interact with them","Ah Zhen feels shy, not expecting to meet handsome guys",C,Ambiguous Story Task," [[B]] Based on the story, Ah Zhen's reaction seems to be a bit surprised and",B,True,466,20
673,"The company has an important project, and both Li and Wang are members of the project team. On Friday afternoon, the team needs to report the project progress to Manager Zhang. At the report meeting, Li gives a detailed introduction of the technical part he is responsible for, while Wang focuses on the market analysis. As soon as Li finishes, Manager Zhang starts to comment: ""Li, the technical part you just talk about indeed has depth."" He pauses for a moment, then says: ""However, I remember you also participate in the market analysis, right?"" Then Manager Zhang adds: ""Your technical part is very in place, but we can do better in the market analysis."" The meeting continues.","If there is, which sentence is inappropriate?","Li, the technical part you just talk about indeed has depth.","However, I remember you also participate in the market analysis, right?","Your technical part is very in place, but we can do better in the market analysis.",There is no inappropriate sentence.,B,Faux-pas Recognition Test," [[D]] Based on the story, all the sentences seem appropriate in context. Therefore, the most",D,True,448,20
676,"In a noodle shop, chef Xiao Gang is preparing noodles of different flavors. He tells the waitress Xiao Li, ""We offer 40 different flavors of noodles, most of which are meat noodles, some are seafood noodles, but there are almost no vegetarian noodles."" Xiao Li checks the menu and finds that there are only 5 kinds of seafood noodles.","After checking the menu, how many types of meat noodles does Xiao Li guess?","After checking the menu, Xiao Li guesses there are 20 types of meat noodles.","After checking the menu, Xiao Li guesses there are 35 types of meat noodles.","After checking the menu, Xiao Li guesses there are 33 types of meat noodles.","After checking the menu, Xiao Li guesses there are 25 types of meat noodles.",C,Scalar Implicature Test," [[B]] Based on the information provided, there are 40 different flavors of noodles in total",B,True,408,20
680,"The future of Virtual Reality (VR) is promising. Zhao Wei posts a social media status, announcing that his team is about to launch a revolutionary virtual reality technology to seize the market opportunity. This is a young startup team, Zhao Wei knows they face challenges.",How does Zhao Wei feel when he posts the status?,Thrilled,Panic,Nervous,Confused,C,Unexpected Outcome Test," [[A]] Thrilled. Based on the context, Zhao Wei is excited about launching a revolutionary technology",A,True,320,20
687,"Xiao Li prepares to move because he finds a better job. On Saturday afternoon, Xiao Li prepares for the last gathering and invites his good friend Xiao Zhang. When Xiao Zhang arrives at Xiao Li's house, he finds some boxes. ""Wow, so many boxes, are you doing a big cleanup?"" Xiao Zhang asks. Xiao Li laughs and avoids the specific details: ""Oh, I am doing some sorting recently."" Xiao Zhang jokes: ""You have too many things, it is easier for me to come and play in the future, I don't need to bring things every time!""","If there is, which sentence is inappropriate?","Wow, so many boxes, are you doing a big cleanup?","Oh, I am doing some sorting recently.","You have too many things, it is easier for me to come and play in the future, I don't need to bring things every time!",There is no inappropriate sentence,C,Faux-pas Recognition Test," [[D]] Based on the story, all the sentences seem to be appropriate in context. Therefore,",D,True,432,20
688,"Wang Qiang's friends play together, tell jokes. One of the older children tells a joke, everyone else finds it interesting. Wang Qiang listens to this joke, but he does not understand. But he does not want the other children to know he does not understand, lest they think he is stupid.",How does Wang Qiang appear when this happens?,Happy,Embarrassed,Angry,Bored,A,Hidden emotions," [[B]] Based on the story, Wang Qiang does not want the other children to know he",B,True,329,20
689,"At a family gathering, Meng Hua's cousin asks him if he believes in the real existence of Santa Claus. Meng Hua does not want to break his cousin's fantasy, so he says: ""Of course, Santa Claus is real!",Does Meng Hua tell the truth?,Yes,No,,,B,Strange Story Task," [[A]] Based on the story, Meng Hua says that Santa Claus is real, but we",A,True,309,20
692,"On Friday afternoon, the manager shares his promotion news in the office, and Xiao Wang joins the celebration team. Xiao Liu expresses sincere congratulations on the manager's promotion. Xiao Liu says to Xiao Wang, ""Seeing our team's efforts get rewards really excites everyone."" Xiao Wang replies, ""That's right, this is an inspiration for all of us."" The manager says with emotion, ""Thank you for your support, unity is strength, let us create more miracles together.""",Does Xiao Liu know that Xiao Wang does not get promoted?,Knows,Does not know,,,A,Faux-pas Recognition Test," [[B]] Based on the story, Xiao Liu is congratulating the manager on his promotion and does",B,True,362,20
693,"Zhenming walks on the street, an old lady passes him. The old lady wears strange and ugly clothes. But Zhenming tries to hide his real feelings when he sees the old lady in strange clothes, otherwise the old lady scolds him.",How does Zhenming appear when this happens?,Joy,Disgust,Surprise,Understanding,A,Hidden emotions," [[B]] Based on the story, Zhenming tries to hide his real feelings when he sees",B,True,316,20
695,"Xiaoli's father is a chef, he often cooks delicious dishes at home. Xiaoli really likes to eat the braised pork that her father makes. When her father makes braised pork, he likes to put a lot of oil and fry the meat first, the fried meat smells very good. Making braised pork takes a lot of time. One night, when her father asks Xiaoli if she wants to eat braised pork, she says ""I do not want to eat.""","Does Xiaoli say she does not want to eat braised pork, is this true?",Yes,No,,,B,Strange Story Task," [[A]] Based on the story, Xiaoli says she does not want to eat braised pork",A,True,369,20
697,"A gentleman admires a lady and buys her an expensive necklace. The lady smiles and says, ""This necklace is really beautiful. A while ago, my boyfriend also buys one for me. I don't expect you guys to have the same taste.""",What does she really want to say when this lady says this?,The lady wants to express her liking for this necklace.,The lady hints that she does not like this style of necklace.,The lady hints that she already has a boyfriend.,The lady praises the taste of this gentleman.,C,Hinting Task Test, [[B]] The lady's statement suggests she doesn't want the gentleman to think she likes the same,B,True,354,20
710,"One day, the principal, after correcting the homework, finds that the students' grades are not very good, so he writes in the WeChat group of school teachers: ""Teachers, I look at the students' homework today, I really don't think they are so modest, no one does it all right.""",What is the real meaning when the principal says this?,The principal thinks the students are very modest,The principal is reminding teachers to pay attention to improving teaching methods,The principal pays attention to and cares about students' homework,The principal feels regret because no one can do all the homework right,B,Hinting Task Test," [[D]] Based on the principal's statement, it seems they are expressing regret that no one got",D,True,367,20
712,"On Friday night, Xiao Wang and Xiao Liu sit in the dormitory chatting. Xiao Wang says, ""The weekend is here, we can go to see a movie, relax a bit."" Xiao Liu responds lightly, ""Hmm, that works."" Xiao Wang asks Xiao Liu, ""What happens to you recently?"" Xiao Liu says, ""Nothing much, I just miss home a bit recently."" Xiao Wang says, ""Missing home is normal, everyone has such times. We can talk about our hometown, maybe it feels better.""",Does Xiao Wang know that Xiao Liu misses home a lot?,Knows,Does not know,,,A,Faux-pas Recognition Test," [[B]] Based on the story, Xiao Wang suggests talking about hometown and mentions that missing home is",B,True,372,20
715,"Xiao Bei finds a storage locker in the garage, the label on the storage locker is coat, Xiao Bei cannot see what is inside the storage locker, Xiao Bei opens the storage locker and finds a cup, there is no coat inside the storage locker, Xiao Bei closes the storage locker and puts it back in place, Xiao Ming enters the garage and sees the storage locker.","After Xiao Ming opens the storage locker, what does Xiao Bei expect to find inside the storage locker?",Watch,Jacket,Cup,Sweatshirt,C,False Belief Task," [[B]] Based on the story, the label on the storage locker is ""coat,"" which typically",B,True,349,20
716,"Li Xiao and Wang Qiang team up to participate in an academic competition, their team wins the first place, Wang Qiang receives the best paper award. Li Xiao says to Wang Qiang: ""I am really so happy, congratulations my friend!"" In the evening, when she returns home, Li Xiao says to her father: ""I am very sad.""",Why does Li Xiao say she is both happy and sad?,"She is happy that Wang Qiang wins the best paper, but sad that she does not win an individual award.","She is happy that their team wins the first place, but sad that Wang Qiang does not comfort her.","She is happy that Wang Qiang wins the best paper, but sad that Wang Qiang does not comfort her.","She is happy that their team wins the first place, but sad that she does not win an individual award.",A,Strange Story Task," [[D]]
You are correct. Based on the story, Li Xiao is happy about the team's",D,True,422,20
725,"On the first day at the new school, Xiao Yang says to his classmate Xiao Liu sitting next to him: ""My mom is a lady in our school cafeteria."" Xiao Liu says: ""What a coincidence."" At this time, another classmate Xiao Li comes over and says: ""I think the food in our school cafeteria is very delicious."" Xiao Yang smiles and says: ""Yes, my mom cooks very well."" Xiao Liu says: ""Xiao Li, do you want to go to the game room together?"" Xiao Li says: ""Sure, let's go together.""",Does Xiao Li know that Xiao Yang's mom is the cafeteria aunt?,Knows,Does not know,,,A,Faux-pas Recognition Test," [[B]] Based on the conversation, Xiao Li does not seem to have any prior knowledge about Xiao",B,True,386,20
730,"Li Hua, a peddler in the village, often sells fruits in the market. One day, he finds that a box of his apples disappears. On the same day, Zhang Wei accidentally finds this box of unattended apples behind the market, which is quite troublesome, so he takes them home. Wang Li knows these apples belong to Li Hua, but she has a bad relationship with Li Hua, so she chooses to keep silent. A few days later, Li Hua learns about the whereabouts of the apples while chatting with friends.",What is the possible intention behind Zhang Wei taking the apples?,"Zhang Wei possibly thinks the apples are ownerless, and he is helping to clean up the market.","Zhang Wei possibly wants free apples, deliberately not looking for the owner of the apples.",Zhang Wei possibly thinks taking the apples is a kind of help to the market.,Zhang Wei possibly likes free things and does not consider the real owner of the apples.,A,Discrepant intentions," [[B]] Based on the story, Zhang Wei finds the box of apples unattended and takes them",B,True,441,20
733,"Xiao Hong finds a cabinet in the smoking room, the label on the cabinet is zucchini, Xiao Hong cannot see what is inside the cabinet, Xiao Hong opens the cabinet and finds a jacket, there is no zucchini in the cabinet, Xiao Hong closes the cabinet and puts it back in its place, Xiao Gang enters the smoking room and sees the cabinet.","After Xiao Gang opens the cabinet, what does Xiao Hong expect to find in the cabinet?",Zucchini,Jacket,Cabbage,Tie,B,False Belief Task," [[A]] Based on the story, Xiao Hong initially expected to find zucchini in the cabinet due",A,True,346,20
