global_index,question_index,set_id,part_id,conv_id,qa_type,gold,prediction,correct
248,248,71-0-1,71-0,71,FactQ,Ariana likes tennis and her favourite athlete is Serena Williams.,Ariana likes tennis and her favourite athlete is Serena Williams.,1
249,249,71-0-2,71-0,71,FactQ,The conversation shifted to the topic of cooking and their favourite dishes to prepare when Amari joined the discussion.,The conversation shifted to their favorite athletes.,0
250,250,71-1-0,71-1,71,FactQ,"The group discussed their favorite musicians or bands, their stance on societal issues, favorite sports teams or athletes, and their favorite dishes to cook.","Musicians, sports teams and athletes, and favorite dishes to prepare.",0
251,251,71-1-1,71-1,71,FactQ,They planned to swap recipes and try cooking each other's favourite dishes.,They planned to cook each other's favorite dishes.,0
252,252,71-1-2,71-1,71,FactQ,The new topic of conversation when the original discussion changed was about their favourite sports team or athlete.,The new topic of conversation was favourite sports teams or athletes.,0
253,253,72-0-0,72-0,72,FactQ,"Hazel and Camille discussed the intense concentration and creativity required in their jobs, the need to balance different projects, and managing tight deadlines as challenging aspects of their jobs.","Camille finds tight deadlines challenging, while Hazel struggles with the concentration needed for brainstorming, flawless execution, and balancing multiple projects.",0
254,254,73-0-0,73-0,73,FactQ,Gianna uses Yoga and meditation to manage her stress levels.,Gianna uses Yoga and meditation.,0
255,255,73-0-1,73-0,73,FactQ,Jack started including more fruits and vegetables in his diet instead of having packaged food.,Jack included more fruits and vegetables in his diet rather than just having packaged food.,0
256,256,73-0-2,73-0,73,FactQ,"Jack and Gianna discussed how the lockdown affected both their physical and mental health. Gianna mentioned that she took advantage of the situation to focus on physical activities like biking, jogging and walking, which positively impacted her sleep routine and overall mood. Jack also noted the importance of mental health, particularly in light of the pandemic.","They discussed improved sleep and overall mood from physical activity, and the realization of mental health's importance.",0
257,257,73-1-0,73-1,73,FactQ,"Jack mentioned that he is trying to improve his diet by including more fruits and vegetables instead of packaged foods and is considering cycling. Gianna stated that she practices yoga and meditation for stress management and incorporated physical activities like biking and jogging during the lockdown. Alice shared that swimming is her current favorite form of exercise. They all discussed the importance of introducing small, sustainable changes to their lifestyle, such as swapping soda for water and incorporating regular short intervals of exercise.","Jack discussed incorporating more fruits and vegetables and considering cycling, Gianna mentioned yoga and physical activity like biking and jogging, and Alice brought up swimming and focusing on portion sizes.",0
258,258,73-1-1,73-1,73,FactQ,"The group discussed several strategies to stay motivated and consistent with their wellness routines. These included starting slow and making sustainable changes, choosing activities they enjoy, spending time outdoors, maintaining a daily routine, practicing mindfulness and self-care, and staying connected with friends and family. They also stressed the importance of making small, consistent steps and staying committed to achieve overall wellness.","The group discussed taking small, consistent steps, focusing on progression over perfection, maintaining a long-term perspective, and mutual support.",0
259,259,73-1-2,73-1,73,FactQ,"The mental wellness strategies discussed include practicing mindfulness and meditation, maintaining regular social connections, journaling, and practicing self-care. They also discussed the importance of routine, managing stress levels, and enjoying physical activities that can also benefit mental health. Jack mentioned he was considering mindfulness paired with cycling for his mental wellbeing.","Establishing a daily routine, staying connected with friends and family, practicing mindfulness exercises, allowing time for self-care, and journaling were some of the mental wellness strategies discussed.",0
260,260,74-0-0,74-0,74,FactQ,Enrique's favorite board game is Scrabble and Phoebe's favorite is Monopoly.,"Enrique's favorite board game is Scrabble, and Phoebe's favorite board game is Monopoly.",0
261,261,74-1-0,74-1,74,FactQ,"Enrique is looking forward to the next season of Stranger Things, and Emely is excited for the new season of The Crown.","Enrique is looking forward to Stranger Things, and Emely is looking forward to The Crown.",0
262,262,74-1-1,74-1,74,FactQ,"Enrique is excited about the new James Bond movie, No Time To Die, and Emely is waiting for Dune.","Enrique is excited about the new James Bond movie, No Time To Die, and Emely is waiting for Dune.",1
263,263,75-0-0,75-0,75,FactQ,"Elisabeth and Kylee discussed the importance of setting priorities, establishing a routine, and disconnecting from work at home. They covered the need to take time for personal growth and wellness, and to engage in activities they love for a healthy balance. They also discussed how their jobs should respect their personal lives. Elisabeth and Kylee later discussed with Lola about the role of positive and negative habits, including good sleeping habits, dietary changes, regular workouts, and practicing mindfulness.","Elisabeth and Kylee discussed knowing priorities, taking breaks, having a routine, job respect for personal life, blurred boundaries, and disconnecting from work.",0
264,264,75-0-1,75-0,75,FactQ,"Reading a book, going for a walk, spending time with loved ones, and practicing mindfulness are some of the suggested activities believed to recharge them and improve their work productivity.","Reading a book, going for a walk, or spending time with loved ones.",0
265,265,76-0-0,76-0,76,FactQ,Stephen prefers to use a line-by-line budget because he finds it keeps him more accountable.,Stephen prefers a line-by-line budget because he finds it keeps him more accountable.,0
266,266,76-0-1,76-0,76,FactQ,"According to the '50/30/20 rule', Gabriela allocates 50% of her income to necessities, 30% to hobbies and interests, and 20% straight into savings.","50% of income goes to necessities, 30% to hobbies and interests, and 20% straight into savings.",0
267,267,76-1-0,76-1,76,FactQ,"Gabriela and Hunter both believe in using credit cards responsibly. Hunter mentioned that he believes in never letting debt get out of control, always paying his credit card bill in full and on time to avoid interest charges. Gabriela also tries to use credit cards responsibly, viewing them as a tool for building a good credit score, not for impulse purchases. They both agree that a good credit score can open better financial opportunities in the future.","Gabriela views credit cards as a tool for building a good credit score and not for impulse purchases, while Hunter pays bills in full and on time to avoid interest charges and believes they should not let debt get out of control.",0
268,268,76-1-1,76-1,76,FactQ,"Yes, Gabriela stated that she views credit cards as a tool for building a good credit score, not for impulse purchases.","Yes, Gabriela and Stephen expressed opinions against using credit cards for impulsive purchases.",0
269,269,76-1-2,76-1,76,FactQ,"They all agreed that a good credit score can lead to better financial opportunities in the future, such as securing loans at lower interest rates. Stephen added that it can even be an advantage in non-finance related situations like renting an apartment. They emphasized the importance of being mindful of every financial decision as these can significantly impact their future.","A good credit score can open up better financial opportunities, such as securing loans at lower interest rates and providing advantages in non-finance related situations like renting an apartment.",0
270,270,77-0-0,77-0,77,FactQ,"The topic of discussion related to the use of technology in personal life was about how technology organizes daily routine, helps in multitasking, and brings convenience. They also discussed the importance of maintaining balance and not letting technology dominate lives completely. They further agreed on the importance of moments without screens and the use of mindfulness apps like Headspace.","How technology reshapes daily routines, brings convenience, and the importance of balance.",0
271,271,77-0-1,77-0,77,FactQ,"The participants suggested that while technology offers many conveniences and has reshaped daily routines, it's crucial to disconnect occasionally and enjoy moments without screens. They mentioned the importance of balancing digital activities with mindfulness and non-screen activities. The idea is to use technology, such as apps, as tools to help manage daily tasks, but not allow them to dominate the everyday life.",They suggested maintaining balance and disconnecting occasionally.,0
272,272,78-0-0,78-0,78,FactQ,"Enrique and Melissa were highlighting that the current political landscape both provides opportunities for progress and presents challenges due to the high degree of polarization. They stressed the importance of staying informed, forming personal opinions while also respecting differing views. They discussed the crucial role of civil discourse and empathy in mitigating polarization.","They highlighted that it provides both opportunities for progress and setbacks, and is a ""double-edged sword.""",0
273,273,79-0-0,79-0,79,FactQ,"Lane and William were focusing on the dual nature of social media's impact on politics. They acknowledged its role in making politics more accessible and enabling free discussion of ideas, but also highlighted its potential for spreading disinformation and fake news. They noted that this aspect can make it difficult to distinguish between truth and falsehood, and stressed the need for healthy skepticism when using social media for political information.","They focused on social media's role in making politics more accessible and engaging, alongside its potential for disinformation and misinformation.",0
274,274,79-0-1,79-0,79,FactQ,"Lane and William pointed out that social media can be a major source of disinformation and fake news, which can make it challenging to distinguish truth from falsehood. They also mentioned that while social media facilitates political discourse and increases engagement, it also allows for manipulation through spreading of misinformation.","Lane and William stated that social media opens avenues for disinformation and fake news, making it harder to differentiate truth and enabling manipulation.",0
275,275,80-0-0,80-0,80,FactQ,"Gloria and Richard were discussing their personal experiences and feelings about instant connections with strangers. They both agreed on the phenomenon's astonishing nature and the strong impressions certain people can make in short time, potentially due to shared experiences or viewpoints. Richard believed it's possible to foster meaningful relationships from a single impactful encounter. They both recognized vulnerability as a daunting but essential element of opening up to strangers, which can yield deep and fulfilling connections. The conversation evolved further when Luna joined and tied the topic to the complexity and impact of familial relationships.","Gloria and Richard discussed the immediate, deep, and astonishing nature of instant connections with strangers, noting they can be stronger than long-term friendships and potentially lead to meaningful relationships.",0
276,276,80-0-1,80-0,80,FactQ,"Both Gloria and Richard agreed on the likelihood of building a relationship from a single, impactful meeting. Richard held the belief that some of his meaningful relationships started with just one momentous encounter.","Richard believed it was possible, while Gloria found his perspective fascinating.",0
277,277,80-1-0,80-1,80,FactQ,Luna and Richard were discussing the impact of romantic relationships before Gloria joined them.,Romantic relationships.,0
278,278,80-1-1,80-1,80,FactQ,"When Gloria rejoined the conversation, the topic changed from discussing romantic relationships to talking about work relationships.",The conversation topic became instant connections with strangers.,0
279,279,81-0-0,81-0,81,FactQ,"Guadalupe was interested in history, specifically Ancient Greece and Rome. Kobe was interested in math, particularly trigonometry.","Guadalupe was interested in history, and Kobe was interested in math and Greek mythology.",0
280,280,81-0-1,81-0,81,FactQ,Guadalupe and Kobe also discussed the idea that curiosity drives learning and that overcoming educational challenges is an important part of the learning process.,Guadalupe and Kobe discussed the nature of learning and what drives education.,0
281,281,82-0-0,82-0,82,FactQ,"Aaliyah and Amy were discussing how food stirs up memories and emotions. They mentioned that certain dishes or meals can remind them of particular people or moments in their lives, serving as a form of comfort. They also discussed how food habits form a part of their routines and how food can act as an ice breaker in social situations.",They discussed how food stirs up vivid memories and serves as comfort.,0
282,282,82-0-1,82-0,82,FactQ,"According to the conversation between Aaliyah and Amy, food plays a significant role in shaping routines as certain food habits set the tone for their day. Amy mentioned that she can't start her day without a cup of hot coffee, while Aaliyah prefers a cup of warm lemon water in the morning for a refreshing start. These habits contribute to their personal health as Aaliyah mentioned that warm lemon water is good for health.","Food shapes daily routines and habits, such as morning coffee or lemon water, and contributes to personal health.",0
283,283,83-0-0,83-0,83,FactQ,"Sports taught Carolyn resilience, mental toughness, commitment, and determination. Kasey learned discipline, team spirit, hard work, and perseverance from sports. Both of them mentioned that sports helped shape their work ethic, and they also acknowledged the health benefits of regular physical activity.","Sports taught Carolyn resilience, mental toughness, commitment, determination, and overcoming setbacks, and Kasey discipline, team spirit, hard work, perseverance, and handling success and failure.",0
284,284,83-0-1,83-0,83,FactQ,"Carolyn attributed her involvement in sports to teaching her resilience, mental toughness, a sense of commitment and determination, and to keeping her healthy. Kasey attributed sports to teaching him discipline, team spirit, hard work, perseverance, and maintaining good health.","Carolyn and Kasey attributed discipline, team spirit, hard work, perseverance, resilience, mental toughness, commitment, determination, and a strong work ethic to their involvement in sports.",0
285,285,83-1-0,83-1,83,FactQ,"Carolyn and Tiana discussed the controversy with Serena Williams and the umpire at the US Open, the doping scandal of Lance Armstrong, and the incident where Maria Sharapova tested positive for a banned substance.","Carolyn and Tiana discussed Serena Williams' confrontation with the umpire, Maria Sharapova's banned substance test, and the Lance Armstrong doping scandal.",0
286,286,83-1-1,83-1,83,FactQ,"They suggested that these sports controversies, through the mistakes or poor decisions made by athletes, could serve as lessons for other athletes and fans in understanding that athletes are human and prone to errors. These incidents can also remind the sporting community about the importance of fairness and integrity.",They can serve as lessons for other athletes and fans alike.,0
287,287,84-0-0,84-0,84,FactQ,David Beckham and Pharrell.,David Beckham and Pharrell.,1
288,288,84-0-1,84-0,84,FactQ,"Veronica adores Lady Gaga's sense of style. She considers her outfits bold, daring, and avant-garde.","Veronica adores Lady Gaga's sense of style and is amazed by her bold, daring, and avant-garde outfits.",0
289,289,84-0-2,84-0,84,FactQ,"Kristopher and Veronica believe fashion is important for individual expression and identity because it allows one to experiment with different styles, create their own unique fashion language, and embrace their creativity. They view fashion as a way to show personal creativity and unique identity to the world.",Fashion allows people to express themselves and create their unique identity.,0
290,290,85-0-0,85-0,85,FactQ,"Veronica's favorite art gallery is The Louvre in Paris. She enjoys it because she can spend hours completely absorbed in the artwork, and because she believes each piece has an incredible story to tell.",Veronica's favorite art gallery is The Louvre in Paris because she can spend hours there completely absorbed in the artwork and each piece tells an incredible story.,0
291,291,85-1-0,85-1,85,FactQ,Veronica and Chandler planned to explore some art galleries or exhibitions together in the future.,They planned to explore some galleries or exhibitions together.,0
292,292,85-1-1,85-1,85,FactQ,Veronica and Chandler plan to visit some art galleries or exhibitions together in the future.,Galleries or exhibitions.,0
293,293,87-0-0,87-0,87,FactQ,"Kira shared that she achieves inner peace by accepting that there will always be elements of life that are beyond her control. However, how she reacts to these elements is within her control. She finds solace in this realization and this brings her a sense of inner peace and fulfillment.",Kira finds inner peace by accepting elements of life beyond her control and focusing on how she reacts to them.,0
294,294,87-0-1,87-0,87,FactQ,"Kira suggested that one can control their reactions in life by accepting that there will always be elements of life that are beyond their control, and focusing on how they react to these elements, which is within their control.",Kira suggested that meditation and mindfulness help her become more aware of her thoughts and emotions and react more mindfully.,0
295,295,88-0-0,88-0,88,FactQ,"Remington and Desmond were discussing the trials, effort, and rewards of training their pets. They talked about how despite the challenges, such as stubbornness, the joy and enrichment they received from their pets were worthwhile.",Remington and Desmond were discussing the training and stubbornness of their pets.,0
296,296,88-0-1,88-0,88,FactQ,Desmond owned the pet named Mittens and Remington owned the pet named Feathers.,"Desmond owned Mittens, and Remington owned Feathers.",0
297,297,88-0-2,88-0,88,FactQ,"The group discussed the rewarding experiences they had from training their pets and the unique ways they connected with them. They talked about the special motivators their pets had, such as specific toys or treats, and how understanding their pets' language was a fascinating process. They also emphasized the deep and priceless bond formed with their pets, the unconditional love they received, and the enduring memories they have, despite the pets no longer being with them.","The group discussed pet loss, unique bonds, training, health, and the joy and companionship pets bring.",0
298,298,89-0-0,89-0,89,FactQ,Nina adheres to the KonMari method for organizing her space.,Nina adheres to the KonMari method for organizing her space.,1
299,299,89-0-1,89-0,89,FactQ,The key principles of the KonMari method that Nina discussed are surrounding oneself with things that spark joy and sorting items by categories instead of room-by-room.,The KonMari method involves surrounding oneself with things that spark joy and encourages sorting by categories instead of room-by-room.,0
300,300,90-0-0,90-0,90,FactQ,"Leilani and Claudia discussed their favorite natural landscapes, outdoor activities linked to nature like hiking, surfing, and camping, their encounters with wildlife, the calming and healing effects of nature, and the importance of preserving wildlife habitats.","Leilani and Claudia discussed their love for nature, favorite natural landscapes, outdoor activities, nature photography, and environmental conservation.",0
301,301,90-0-1,90-0,90,FactQ,"Leilani enjoys hiking and camping, while Claudia enjoys surfing and sailing.","Leilani enjoys hiking and camping, while Claudia enjoys surfing and sailing.",1
302,302,90-1-0,90-1,90,FactQ,"Leilani and Fabian enjoy nature photography for various reasons. Leilani mentions that she loves capturing landscape pictures during her hikes because it makes the moments more memorable and also allows her to share these moments with others, inspiring them to explore nature. On the other hand, Fabian finds it thrilling to patiently wait for the perfect shot to capture wildlife's beauty. He also views nature photography as a fulfilling way to document nature's beauty, see it as a still frame of the ever-changing world, and as a way to connect and contribute to nature preservation.","Leilani enjoys nature photography for making moments more memorable and inspiring others, while Fabian loves it for capturing beauty, documenting nature, and contributing to its preservation.",0
303,303,90-1-1,90-1,90,FactQ,"Leilani and Fabian perceive the connection between photography and nature preservation as a means to document and appreciate the beauty of nature. They believe that the act of capturing images of the natural world can lead to greater appreciation of it, thus encouraging people to preserve and protect it. They also think that photography can be a way of spreading awareness of the need for conservation.","Leilani and Fabian perceive photography as a way to connect with nature, inspire others, and contribute to its preservation.",0
304,304,90-1-2,90-1,90,FactQ,They find it thrilling to patiently wait for the perfect shot and the ability to capture a still frame of the ever-changing world around them.,Patiently waiting for the perfect shot.,0
305,305,91-0-0,91-0,91,FactQ,"Judah prefers skincare products with natural ingredients and he loves the brand, Youth To The People.",Judah prefers skincare products with natural ingredients and loves the brand Youth To The People.,0
306,306,91-0-1,91-0,91,FactQ,Judah favors the superfood face wash from Youth To The People.,The conversation does not specify which particular Youth To The People product Judah favors; she only states she is into the brand.,0
307,307,91-0-2,91-0,91,FactQ,Eddie recommends Kiehl's facial fuel energizing face wash and their ultra facial cream. His winter skincare staple is the ultra facial cream.,"Eddie recommends Kiehl's facial fuel energizing face wash and ultra facial cream, and his winter skincare staple is the ultra facial cream.",0
308,308,91-1-0,91-1,91,FactQ,"Holly and Eddie were discussing the topics of self-love, body positivity, and makeup techniques like the 'less is more' approach and 'no makeup' makeup look. They also briefly discussed a Korean beauty trend called 'glass skin'.",Self-love and body positivity.,0
309,309,91-1-1,91-1,91,FactQ,"Holly described her approach to self-love and body positivity as embracing her natural self and treating her body with respect. She finds it helpful to use daily affirmations to remind herself that she is enough as she is, regardless of societal standards of beauty. Holly believes body positivity is about understanding that beauty comes in all shapes and sizes and being comfortable in one's own skin, without societal pressure to look a certain way. Eddie agreed with Holly and emphasized that good skincare or hair care is not just about looking good, but also about self-care and feeling good from within. Eddie also emphasized celebrating diversity, making everyone feel confident and valued, and treating everyone with love and respect.","Holly believes in embracing her natural self and treating her body with love and respect, while Eddie connects it to self-care and feeling good from the inside out, celebrating diversity, and valuing everyone.",0
310,310,92-0-0,92-0,92,FactQ,"Riley and Daniella were discussing the cultural traditions of honoring the dead, specifically Mexico's Day of the Dead and the Irish tradition of holding a Wake.",Day of the Dead (Dia de los Muertos) and the Wake.,0
311,311,92-0-1,92-0,92,FactQ,"The Day of the Dead in Mexico is celebrated as a festive event with gatherings of family and friends to pray for and remember loved ones who have died. It involves food, drinks, parties, and activities the deceased enjoyed in life. On the other hand, the Wake in Ireland is a social gathering before a funeral where family and friends remember the deceased and offer comfort to each other, marked by plenty of food, drink, and sometimes music.","The Day of the Dead is celebrated with food, drinks, parties, and activities the dead enjoyed in life, while a Wake involves food, drink, and sometimes music.",0
312,312,92-0-2,92-0,92,FactQ,The conversation shifted to the Japanese cultural tradition known as the Obon Festival when Lucia joined in.,The conversation shifted to the Obon Festival.,0
313,313,92-1-0,92-1,92,FactQ,Lucia's American friend thought the floating lanterns ceremony was just for fun and didn’t realize its deeper significance.,Lucia's American friend thought the floating lanterns ceremony was just for fun and didn't realize its deeper significance.,0
314,314,92-1-1,92-1,92,FactQ,Riley's American friend was quite taken aback at an Irish Wake because they thought it was too jovial for an event related to death.,Riley's American friend was quite taken aback because they thought it was too jovial for an event related to death.,0
315,315,92-1-2,92-1,92,FactQ,"Both Lucia and Riley shared experiences where someone from a different culture misunderstood or didn't know the cultural significance of a tradition or event - in Lucia's case the Obon Festival, and in Riley's case an Irish Wake.",Both Lucia and Riley shared experiences of cultural misunderstandings involving friends from America who didn't understand the deeper significance or nature of their respective cultural traditions.,0
316,316,93-0-0,93-0,93,FactQ,Camille volunteered at a local animal shelter for about a year. She found it to be a humbling and rewarding experience. Part of her work included rescuing animals and teaching the importance of adopting instead of shopping for pets.,"Camille volunteered at a local animal shelter for a year, finding it a humbling and rewarding experience.",0
317,317,93-0-1,93-0,93,FactQ,"Isabelle helped with serving meals, organizing events and sometimes just keeping the seniors company at the local community center for the elderly.","She helped with serving meals, organizing events, and keeping the seniors company.",0
318,318,93-0-2,93-0,93,FactQ,Kaleb was involved in providing education to underprivileged children in the community. He organized classes and educational field trips.,Kaleb provided education to underprivileged children.,0
319,319,93-1-0,93-1,93,FactQ,"The first step to advocacy, as discussed by Kaleb and Camille, is awareness and understanding. They believe that immersing in these issues can drive change.",The first step to advocacy is awareness and understanding.,0
320,320,93-1-1,93-1,93,FactQ,"Camille used the example of animal welfare and how greater understanding of the importance of adoption can drive societal change. Kaleb used the example of working with underprivileged children, explaining that education can give these children the tools to change their own lives.","Kaleb used education for underprivileged children, and Camille used animal welfare and adopting pets.",0
321,321,93-1-2,93-1,93,FactQ,"Kaleb mentioned that he works with underprivileged children, focusing on education, while Camille mentioned her advocacy in animal welfare.","Kaleb's advocacy is providing education to underprivileged children, and Camille's is animal welfare and volunteering at an animal shelter.",0
322,322,94-0-0,94-0,94,FactQ,"Erin and Isabella discussed the ambiance, vibe, and experience of dining out at restaurants. They mentioned the unique experiences certain restaurants provide, such as a farm-to-table concept and an open kitchen where you could watch chefs prepare the dishes. They also talked about the décor and atmosphere that made the restaurant experience more authentic and homely. They both agreed that despite the convenience of takeaways and home delivery, the experience of dining out cannot be replaced.","Erin and Isabella discussed memorable dining experiences, the importance of ambiance, and budgeting tips for dining out.",0
323,323,95-0-0,95-0,95,FactQ,"Andre suggested hanging out with friends, learning something new, or even travelling.","He hangs out with friends, learns something new, or travels.",0
324,324,95-0-1,95-0,95,FactQ,"Mckenzie suggested focusing on self-growth and betterment. She also mentioned that a change of scenery or routine can be really helpful, along with adapting, growing, and rebuilding oneself after a breakup.",Mckenzie suggested focusing on self-growth and betterment.,0
325,325,95-0-2,95-0,95,FactQ,The challenges of long-distance relationships.,Long-distance relationships.,0
326,326,96-0-0,96-0,96,FactQ,"Billy and Jax were discussing the challenges associated with communication, understanding each other's viewpoints and accepting each other's differences in a marriage. They talked about the need for compromise, acceptance, and the understanding that marriage is a constant work in progress.","Billy and Jax discussed challenges related to communication, understanding each other's viewpoints, accepting differences, and the importance of compromise.",0
327,327,96-0-1,96-0,96,FactQ,"The topics of communication issues, understanding each other's viewpoints, and the necessity for compromise in a marriage were not revisited when Kayden entered the conversation.",The specific durations of Jax's and Billy's marriages were not revisited.,0
328,328,97-0-0,97-0,97,FactQ,Lisa has started biking more to her frequent destinations to reduce her environmental impact.,Lisa has started biking more to her frequent destinations.,0
329,329,98-0-0,98-0,98,FactQ,"The main topics of discussion between Harrison and Julius before Imani joined were gender equality, the importance of equal opportunities and non-discrimination, the underrepresentation of women in politics and managerial positions, and the need for diverse perspectives in decision-making. They also touched on the economic benefits of having women in leadership positions, referencing a study by Forbes that showed companies led by women had higher return on equity.","Harrison and Julius discussed gender equality, equal opportunities, and the importance of women's representation and diversity in leadership.",0
330,330,98-0-1,98-0,98,FactQ,The discussion highlighted that companies led by women often have a higher return on equity according to a study by Forbes. The participants agreed that gender diversity in high-level positions improves decision-making due to a range of perspectives. They also mentioned that the lack of female representation means missing out on potential talent.,"Gender diversity in high-level positions leads to balanced and higher quality decisions, companies performing better with a higher return on equity, and a more thriving and innovative society.",0
331,331,98-0-2,98-0,98,FactQ,Harrison cited a study by Forbes which shows that companies led by women had a higher return on equity.,A study by Forbes shows that companies led by women had a higher return on equity.,0
332,332,98-1-0,98-1,98,FactQ,Harrison and Imani were discussing Ruth Bader Ginsburg and Audre Lorde as influential figures in their understanding of feminism.,"Harrison mentioned Ruth Bader Ginsburg, and Imani mentioned Audre Lorde.",0
333,333,98-1-1,98-1,98,FactQ,Harrison was influenced by Ruth Bader Ginsburg and Imani was influenced by Audre Lorde.,"Ruth Bader Ginsburg influenced Harrison, and Audre Lorde influenced Imani.",0
334,334,98-1-2,98-1,98,FactQ,"No, the topic of influential figures in their understanding of feminism was not revisited in the conversation with Julius.",No.,0
335,335,99-0-0,99-0,99,FactQ,"Charlie and Julian were discussing how they use positive reinforcement techniques with their children. Charlie mentioned that he praises his children for the small things, such as cleaning up their rooms without being asked or helping each other, and this has made them more responsible. Julian agreed and explained that it's important for children to understand the value of their actions through positive reinforcement, and that good behavior has its rewards. They both agreed that these techniques help shape their children's behavior and help them become responsible individuals in the long run.",Charlie and Julian discussed that praising kids for small acts of good behavior helps them understand the value of their actions and that good behavior is rewarded.,0
336,336,99-0-1,99-0,99,FactQ,"Charlie mentioned that he praises his children for small actions like cleaning up their rooms without being asked or helping each other, and uses this positive reinforcement to encourage more responsible behavior. Julian indicated he uses a similar approach and that rewards can range from compliments and hugs to extra time before bed.","Charlie praises them for small things like cleaning their rooms or helping each other by noticing and appreciating them, while Julian offers compliments, hugs, or an extra half an hour before bed as rewards for good behavior.",0
337,337,99-0-2,99-0,99,FactQ,"Charlie and Julian discussed the techniques they use to instill positive behavior in their children, such as positive reinforcement through praises, hugs, compliments, or extra privileges. They agreed that these methods help children understand that good behavior is rewarded and shapes them as individuals in the long run. Charlie mentioned that despite the struggles, witnessing their children's growth and development makes all challenges worthwhile. Later, they discussed the difficulty of balancing work and family life, with Charlie highlighting the necessity of setting clear boundaries and being present in the moment with the kids. Julian added the importance of focusing on the quality of time spent with children and being a good role model through demonstrating dedication, discipline and time management skills at work.","Charlie and Julian discussed the challenges and rewards of maintaining discipline, balancing work and family, and the overall journey of parenthood.",0
338,338,100-0-0,100-0,100,FactQ,"Craig and Esteban discussed free weights like barbells and dumbbells, as well as machines, belts, gloves, and wrist wraps.","Craig and Esteban discussed free weights (barbells and dumbbells), machines, weightlifting belts, gloves, and wrist wraps.",0
339,339,100-0-1,100-0,100,FactQ,"Craig advised Esteban to use free weights like barbells and dumbbells for compound movements since machines limit range of motion and don't recruit as many muscle groups. He also explained that certain gear like weightlifting belts, gloves, and wrist wraps can provide support and prevent injuries, but warned that misuse of equipment could lead to injury.",Craig advised that misuse of equipment could lead to injury.,0
340,340,100-0-2,100-0,100,FactQ,The conversation shifted to running and cardio workouts after Aidan joined.,Running and cardio workouts.,0
341,341,101-0-0,101-0,101,FactQ,"Ellie prefers console gaming, specifically her PS5, while Javier prefers PC gaming.",Ellie prefers console gaming and Javier prefers PC gaming.,0
342,342,101-0-1,101-0,101,FactQ,Ellie follows the Overwatch League and Javier follows the League of Legends Championship Series.,"Ellie follows the Overwatch League, and Javier follows the League of Legends Championship Series.",0
343,343,101-0-2,101-0,101,FactQ,Ellie has participated in local Fortnite tournaments and Javier has looked into game design as a career. Ellie has also considered being an esports journalist or commentator.,"Ellie has participated in local Fortnite tournaments and attended an esports event, while Javier has looked into game design and follows esports leagues.",0
344,344,101-1-0,101-1,101,FactQ,Javier and Quinton discussed the hyper-realistic graphics and choice-driven narratives in modern game design.,"Javier discussed hyper-realistic graphics, while Quinton discussed narrative design with choice-driven elements.",0
345,345,101-1-1,101-1,101,FactQ,"Javier expressed his anticipation by stating it was exciting to think about how far game development has come and where it could possibly go next. Quinton agreed and added that with advancements in technology, the possibilities could be countless, describing the future of gaming as exciting.","Javier found it exciting to think about where game development is going next, and Quinton emphasized the exciting possibilities with technological advancements.",0
346,346,101-1-2,101-1,101,FactQ,They discussed the impact of hyper-realistic graphics and choice-driven narratives on the gaming experience. They agreed that these elements make the gaming experience incredibly immersive and exciting.,Choice-driven narratives make the gaming experience incredibly immersive.,0
347,347,102-0-0,102-0,102,FactQ,Shane's fear related to his professional experience was about launching the new product for his startup due to competition in the market and the fear of failure.,Shane was scared about launching a new product for his startup due to the fear of failure again and a flooded market.,0
348,348,102-0-1,102-0,102,FactQ,Shane was scared about launching a new product for his startup due to the market being crowded with competitors and the fear of failure. Eduardo found it scary to invest in new stocks after losing money in cryptocurrency due to the associated fear of losing money again.,"Shane experienced a tech startup failure and feared launching a new product, while Eduardo lost money investing in cryptocurrency and feared investing in new stocks.",0
349,349,103-0-0,103-0,103,FactQ,"Dillon and Kristen discussed the importance of budgeting and reassessing expenses, savings, and investments during retirement.",Financial considerations after retirement.,0
350,350,103-0-1,103-0,103,FactQ,"Dillon recommended volunteering and keeping physically active through morning jogs. Kristen recommended regular yoga, meditation, and learning new skills like cooking.","Dillon mentioned daily morning jogs, while Kristen mentioned regular yoga and meditation.",0
351,351,103-0-2,103-0,103,FactQ,"Dillon mentioned that he has started volunteering his time for local charity work and going for morning jogs as part of his daily routine. Kristen, on the other hand, talked about incorporating regular yoga and meditation into her daily routine and planning to enroll in some cooking classes.","Volunteering, morning jogs, yoga, meditation, and cooking classes.",0
352,352,104-0-0,104-0,104,FactQ,"Adam and Derek discussed several techniques for managing work sessions, including the ""Pomodoro Technique"", setting specific, achievable objectives, breaking tasks down into manageable chunks, and grouping similar tasks together, or ""batching"".",They discussed the Pomodoro Technique.,0
353,353,105-0-0,105-0,105,FactQ,Renee and Clara discussed the manufacturing and banking industries in relation to the revolution brought about by AI.,Manufacturing and banking.,0
