index,STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,ANSWER,TASK
262,"Luo Li has a deep passion for gardening, and he has some fame in the community because of this. Shao Qi is the organizer of community activities, and Zhi Hao is the person in charge of the community organization. One day, Shao Qi finds Zhi Hao and proposes to hold a garden party, and also suggests inviting Luo Li to introduce his gardening achievements. Zhi Hao hesitates a bit, but Shao Qi smiles at him and gives him a nod of affirmation. Later, after the party invitation goes out, Luo Li accepts the invitation.",Why does Shao Qi suggest inviting Luo Li in the proposal?,Shao Qi hopes to let Zhi Hao publicly praise Luo Li's gardening skills.,Shao Qi wants to test Luo Li to see if he is willing to share his gardening skills.,Shao Qi thinks that inviting Luo Li helps to increase the attractiveness and influence of the party.,Shao Qi hopes to become good friends with Luo Li by inviting him and improve her own gardening skills.,C,Ambiguous Story Task
263,"Xiao Ming promised his mom to help tidy up the desk at home, but he left in a hurry and forgot that he hadn't finished tidying up completely. When he returns home, his mom asks, ""Is the desk tidied up?"" Xiao Ming thinks for a moment and says, ""It's tidied up.""",Why does Xiao Ming say this?,Xiao Ming intentionally lies because he does not want his mother to get angry.,Xiao Ming forgets that he tidies up but does not completely tidy up the desk.,Xiao Ming intentionally lies because he wants to continue doing what he likes.,Xiao Ming thinks he completely tidies up the desk because he usually does.,B,Strange Story Task
264,"Xiao Li plans a surprise date for the weekend. On Friday night, Xiao Li and Xiao Qiang chat on the phone. Xiao Li says, ""I have a plan for the weekend, let's go together."" Xiao Qiang says, ""Oh, I might go out with my friends this weekend, we plan a basketball game."" Xiao Li is silent for a while, then says, ""It sounds like you are very busy.""","If there is, which sentence is inappropriate?","I have a plan for the weekend, let's go together.","Oh, I might go out with my friends this weekend, we plan a basketball game.",It sounds like you are busy.,There is no inappropriate sentence,B,Faux-pas Recognition Test
265,"Li Lei and Xiao Bei are hanging out at the bar. They see handbags and briefcases, and inside the handbag, they find a cup. Xiao Bei leaves the bar, and Li Lei moves the cup to the briefcase.","Xiao Bei returns to the bar, does Xiao Bei know where the cup is now?","Knows, in the briefcase","Knows, in the handbag",Does not know,"Knows, in the cupboard",C,Percepts-knowledge links
266,"Han Meimei and Youyou roam around in the bedroom, they see a cabinet and a box, they find a tie in the cabinet, Youyou leaves the bedroom, Han Meimei moves the tie to the box.",Where is the tie now?,Cabinet,Drawer,Box,Basket,C,False Belief Task
267,"Li Hua is a senior historian, his life fills with research on the past and analysis of historical events, he firmly believes that understanding history is the key to understanding reality. At the same time, he loves research and does not pursue material things. Wang Lei, on the other hand, is a technology entrepreneur, focusing on the development of cutting-edge technology, he is not very interested in history and tradition, he thinks that the future and innovation are the main driving forces for social development. One day, Li Hua decides to invite Wang Lei to participate in a related activity.",What type of activity does Li Hua most likely invite Wang Lei to participate in?,Ancient artifact exhibition in the science and technology museum,High-tech product launch,Digital virtual restoration exhibition of ancient artifacts,Innovation and entrepreneurship seminar related to artifact auction,C,Discrepant desires
268,"In a well-known research institution, researcher Allen, due to negligence, mistakenly sends confidential information to external personnel. Intern Kate, realizing this mistake, decides not to tell her superiors to protect the reputation of the institution. At the same time, senior engineer Mark knows that Kate understands this leak, but he chooses to remain silent because he has some personal grudges with Allen. When the leakage of confidential information causes significant losses to the institution, Allen feels very shocked and regretful. Later, Kate realizes that she probably should report this incident earlier.",What is the possible intention behind Mark's behavior?,"Mark possibly hopes to protect the institution's reputation, worries that his involvement will exacerbate the situation, and decides to watch the situation develop.","Mark possibly thinks that Kate is responsible for reporting this leak, so he does not need to take action.","Mark hopes to see Allen get blamed for the leak, so he chooses not to interfere.","Mark possibly believes that the institution has enough mechanisms to handle such accidents, so he chooses not to interfere.",C,Discrepant intentions
269,"Lily just gets a haircut. The hairdresser cuts too much hair, and she looks silly. At school, Lily's friends laugh at her and tell her she looks like a hedgehog. Lily tries to pretend she doesn't care.",What are Lily's real feelings?,Happy,Sad,Excited,Satisfied,B,Hidden emotions
270,"Anming's mother spends a long time making Anming's favorite fried fish and chips. But when she brings the food to Anming, Anming watches TV, she doesn't even look up, and doesn't say thank you. Anming's mother says angrily: ""You are really polite!",Why does the mother say this?,She thinks Anming is a very polite child,She lies to encourage Anming to be a very polite child,She wants to mock her own food is not delicious.,She wants to mock Anming is a child without manners.,D,Strange Story Task
271,"Li Lei really likes a very famous band, this band plans to hold many concerts nationwide, but the ticket price is very expensive. He saves money for a long time, wants to save enough to go to the concert of his favorite band with his girlfriend. When his friend invites him to go, Li Lei says he does not want to go.",Does Li Lei really not want to go?,Yes,No,,,A,Strange Story Task
272,"Xiao Li finds a drawer in the lounge, the label on the drawer is buttons, Xiao Li cannot see what is inside the drawer, Xiao Li opens the drawer and finds a cup, there are no buttons in the drawer, Xiao Li closes the drawer and puts it back in its place, Xiao Bei enters the lounge and sees the drawer.",What is in the drawer?,Marker,Cup,Thermometer,Button,B,False Belief Task
273,"Zhao Min is a respected teacher in the community, she recently launches a community education project, aiming to help drop-out children return to school. Her efforts receive wide support and praise from community parents and colleagues.",What is Zhao Min's reaction when the community supports and praises her project?,Sadness,Thrilled,Panic,Sad,B,Unexpected Outcome Test
274,"Wang Li participates in the horror night tour for the first time. As she enters the old house full of dark corners and sudden scare elements, she nervously looks around, her heart beats faster.",What is Wang Li's reaction in the horror night tour?,Indifferent,Excited,Sadness,Terror,D,Unexpected Outcome Test
275,"On Friday afternoon, the company announces the list of outstanding employees for this month, and Xiao Li finds out that he receives this honor. Xiao Li excitedly comes to the office, sees Xiao Wang is organizing files, and happily says, ""Xiao Wang, I am selected as the outstanding employee of this month, it is really unexpected!"" Xiao Wang responds with a smile, ""Congratulations, Xiao Li. You indeed work hard."" The manager comes over, pats Xiao Li's shoulder and says, ""Xiao Li, your performance this month is great, keep it up."" Xiao Li turns to Xiao Wang and says, ""Actually, I think you also qualify for this honor, you always do your job well."" Xiao Wang continues to organize the files.",Who is selected as the outstanding employee of this month?,Xiao Li,Xiao Wang,Manager,Xiao Zhang,A,Faux-pas Recognition Test
276,"Han Meimei finds a cabinet in the rest room, the label on the cabinet is carrot, Han Meimei cannot see what is inside the cabinet, Han Meimei opens the cabinet and finds a tie, there is no carrot in the cabinet, Han Meimei closes the cabinet and puts it back in place, Zhang Wei enters the rest room and sees the cabinet.","After Zhang Wei opens the cabinet, what does Zhang Wei think Han Meimei expects to find in the cabinet?",Tie,Carrot,Raincoat,Watch,B,False Belief Task
277,"Xiaogang and Xiaoming are wandering in the storage room, they see a suitcase and a briefcase, they find beets in the suitcase, Xiaoming leaves the storage room, Xiaogang moves the beets to the briefcase.","After Xiao Ming returns to the storage room, where does Xiao Gang think Xiao Ming looks for the beets?",Briefcase,Safe,Suitcase,Drawer,C,False Belief Task
278,"In a restaurant, Li Ting and Wang Qiang order 12 dumplings, almost half of which are shrimp-filled. They eat some, then say there are 5 that are shrimp-filled.","Before they eat, how many are estimated to be shrimp dumplings?","Before they eat, it is estimated that there are 10 shrimp dumplings","Before they eat, it is estimated that there are 6 shrimp dumplings","Before they eat, it is estimated that there are 5 shrimp dumplings","Before they eat, it is estimated that there are 2 shrimp dumplings",C,Scalar Implicature Test
279,"Zhang Hua is a respected doctor, he plants many expensive and rare herbs in the vegetable garden. Li Qing from the neighboring village urgently needs a very rare herb to save his mother. When he passes by the vegetable garden, he finds the herb he can't find anywhere else, so he picks the herb. Wang Xiao is Zhang Hua's apprentice, he sees Li Qing's behavior and decides not to tell Zhang Hua. When Zhang Hua finds the herb is missing, he starts asking people around. In the end, Li Qing finds out that the vegetable garden belongs to Zhang Hua, so he comes to admit his behavior.",What is the possible intention behind Wang Xiao's action?,Wang Xiao hopes to get Zhang Hua's praise and recognition through his good deeds.,"Wang Xiao, out of sympathy for Li Qing's mother, decides not to tell Zhang Hua.","Wang Xiao possibly wants to see how Li Qing uses the herb to save his mother, so he decides not to tell Zhang Hua.","Wang Xiao does not want Li Qing to feel disappointed for not getting the herb, so he decides not to tell Zhang Hua.",B,Discrepant intentions
280,"Zhao Yun is a city reporter, he hears that the community is about to start a new sustainable development project, the specific content and goals of this project do not disclose yet.",What is Zhao Yun's reaction to the new project?,Worry,Excited,Curious,Disappointed,C,Unexpected Outcome Test
281,"In the project meeting, Assistant Liu is reporting to Manager Zhao. Manager Zhao just decides to continue the project in an environmentally friendly direction. Supervisor Chen, knowing this decision, says, ""I support our environmental direction, I think this is the best choice."" Manager Zhao expresses gratitude, ""Thank you for your support, we are working hard together."" Another colleague in the meeting room nods and says, ""Let's discuss the next topic.""","If there is, which sentence is inappropriate?","I support our project direction, I think this is the best choice.","Thank you for your support, we work together.",Let's discuss the next topic.,There is no inappropriate sentence in the story.,D,Faux-pas Recognition Test
282,"Xiao Hong finds a briefcase in the bank, the label on the briefcase is a scarf, Xiao Hong cannot see what is inside the briefcase, Xiao Hong opens the briefcase and finds a plate and a ruler, there is no scarf inside the briefcase, Xiao Hong closes the briefcase and puts it back in its place, Xiao Bei enters the bank and sees the briefcase.","After Xiao Bei opens the briefcase, what does Xiao Hong think Xiao Bei expects to find inside the briefcase?",Plate ruler,Scarf,Dress,Mask,B,False Belief Task
283,"Zhao Lili is a very serious person, she focuses very much on what she does. In the role-playing game event held at People's Square, Zhao Lili plays a mysterious magician, wears a gorgeous robe, holds a crystal ball, and chants spells. A younger tourist sees Zhao Lili and loudly says, ""Are you doing magic?"" Zhao Lili responds without hesitation, ""Yes, I am proficient in all kinds of magic.""",Is what Zhao Lili says true?,Yes,No,,,B,Strange Story Task
284,"On a weekend afternoon, Yang Chen, Li Li, and Xiao Gang play together in the living room. At this time, Yang Chen suddenly has something to do, saying: ""I am going out now. See you later!"" And waves goodbye to Xiao Gang, leaving the room. Li Li takes out a new toy--a big cloth doll, there is a flower pattern sticker on the back of the big cloth doll, the two of them play roles with the big cloth doll in the living room, having interesting interactions. During this process, Xiao Gang sees the sticker on the back of the big cloth doll. After a while, Li Li puts the big cloth doll on the sofa, Xiao Gang can see but cannot touch the flower pattern sticker. At this time, Yang Chen comes back, just sees the flower pattern of the big cloth doll, she stares at the flower pattern and excitedly shouts: ""Oh, that's great, look!"" Then she briefly looks at Xiao Gang.",How does Xiao Gang most likely react?,"Xiao Gang clearly checks whether there is anything special about the flower pattern, including the side containing the flower pattern.","Xiao Gang says ""This is a flower",Xiao Gang clearly points to the flower pattern sticker,"Xiao Gang points in the direction of the big cloth doll, but does not point to the sticker",D,Knowledge-attention links
285,"Xiaohua and Xiaogang are in the corner of the classroom, watching Xiaoli who is dozing off on the seat. Xiaoli has to prepare for an important exam recently, but he is sick and obviously feels uncomfortable. Suddenly, Xiaohua looks at Xiaogang, their eyes meet. In a blog, they find efficient learning materials for the course. He smiles at Xiaogang and nods. Then they walk towards Xiaoli, with Xiaogang holding the magazine in front.",What do you think Xiaoli thinks?,Xiaoli possibly thinks they come to mock him for dozing off before the exam.,"Xiaoli possibly thinks they prepare to say something to him, but still feels a bit confused.",Xiaoli possibly thinks they want to show him a boring magazine.,"Xiaoli possibly thinks they just pass by, not coming to find him.",B,Ambiguous Story Task
286,"Xiao Ming and Xiao Li are wandering in the bank, they see a handbag and a box, they find chalk in the handbag, Xiao Li leaves the bank, Xiao Ming moves the chalk to the box.",Where is the chalk now?,Basket,Handbag,Box,Suitcase,C,False Belief Task
287,"Wang Xiaoming participates in a costume party at the amusement park, where he plays a magician. He puts on a gorgeous robe, wears a pointed hat with star patterns, holds a delicate magic wand, starts to walk around the amusement park, and interacts with visitors in a mysterious voice. He says he performs magic, which makes the surrounding children cheer and jump for joy. He appears very natural in this fantasy-filled environment, like a visitor from the magical world.",Does Wang Xiaoming tell the truth?,Yes,No,,,B,Strange Story Task
288,"Minghan, Yulin, and Binbin are members of a research group, and they are conducting an important research topic. One day, they meet in the lab to discuss the progress of the project. Minghan keeps looking at his phone, not saying a word, but he occasionally glances at Yulin. Binbin buries his head in the experiment, and he sees Minghan's gaze at Yulin. Suddenly, Minghan winks at Yulin and points to his task materials, then he lowers his head to reply to the phone message. Yulin sees it, sneers, and continues to be busy with her work.",Why does Minghan wink at Yulin?,Minghan winks at Yulin to tease her.,"Minghan hints at Yulin, hoping that Yulin can help him complete the work he cannot finish.","Minghan easily handles the information in the phone, and is interested in Yulin's work.","Minghan finds Binbin's funny mistake, and reminds Yulin to come and see.",B,Ambiguous Story Task
289,"Chen Ming is a volunteer who is passionate about environmental protection. He dedicates himself to promoting sustainable lifestyles, firmly believing that conserving resources and protecting nature are the primary tasks of mankind. On the other hand, Zhao Xue is a successful fashion magazine editor. Her world is full of the latest trends and expensive designer brands. She thinks that fashion and personal expression are indispensable parts of modern life. This weekend, Chen Ming plans to invite Zhao Xue to a special event.",What type of event does Chen Ming most likely invite Zhao Xue to?,International designer fashion show,Sustainable fashion exhibition,Environmental protection themed seminar,Luxury brand launch event,B,Discrepant desires
290,"In a classroom of a middle school, teacher Wang is explaining different subjects. He says to student Liu, ""We have 10 different courses, most are science courses, some are literature courses, but there are hardly any art courses."" Liu flips through the schedule and finds only 3 art classes.","Before Liu flips through the schedule, how many science classes does he guess?","Before Liu flips through the schedule, he guesses there are 3 science classes","Before Liu flips through the schedule, he guesses there are 10 science classes","Before Liu flips through the schedule, he guesses there are 8 science classes","Before Liu flips through the schedule, he guesses there are 9 science classes",C,Scalar Implicature Test
291,"Li Lei really likes a very famous band, this band plans to hold many concerts nationwide, but the ticket price is very expensive. He saves money for a long time, wants to save enough to go to the concert of his favorite band with his girlfriend. When his friend invites him to go, Li Lei says he does not want to go.",Why does Li Lei refuse the invitation to the concert from his friend?,He prefers to watch with his girlfriend.,The band is too famous and tickets are hard to get.,He already has other plans.,He does not have enough money to buy tickets.,A,Strange Story Task
292,"In a costume role-playing competition, Yang Qing participates and plays an ancient martial arts master, wearing a gorgeous warrior costume, and a helmet studded with jewels. During the competition, a spectator suddenly comes on stage and enthusiastically greets Yang Qing: ""Hello, I am Ah Long, who are you?"" Yang Qing answers without hesitation: ""I am the martial arts master here.""",Why does Yang Qing say this?,He really thinks he is the ancient martial arts master he plays in the competition.,"Yang Qing plays a martial arts master, integrating himself with the role he plays to enhance the performance effect.","The spectator's greeting is too sudden, causing Yang Qing to be a bit confused when answering.","Because Yang Qing wears a gorgeous warrior costume and a helmet inlaid with jewels, he looks like a martial arts master.",B,Strange Story Task
293,"One weekend afternoon, Zhang Ming, Wang Lei, and Xiao Fang play together in the bedroom. At this time, Zhang Ming suddenly has something to do, and says: ""I am going out now. See you later!"" He waves goodbye to Xiao Fang and leaves the room. Wang Lei takes out a new toy--an airplane. A cloud pattern sticker sticks to the bottom of the airplane. The two simulate airplane flight in the bedroom. During this process, Xiao Fang sees the cloud pattern sticker on the back of the airplane. After playing for a while, Wang Lei puts the toy airplane away. Xiao Fang can see but cannot touch the sticker. At this time, Zhang Ming comes back and just sees the cloud pattern sticker on the bottom of the airplane. He stares at the sticker and excitedly shouts: ""Oh, that's great, look!"" Then he briefly looks at Xiao Fang.",How does Xiao Fang most likely react?,"Xiao Fang says ""This is an airplane","Xiao Fang says ""This is a cloud",Xiao Fang clearly points to the cloud pattern sticker,"Xiao Fang clearly checks it for anything special, including the side with the cloud sticker.",A.,Knowledge-attention links
294,"Li Lei finds a suitcase in the study, the label on the suitcase is a crayon, Li Lei cannot see what is inside the suitcase, Li Lei opens the suitcase and finds a pineapple, there is no crayon inside the suitcase, Li Lei closes the suitcase and puts it back in its place, Han Meimei enters the study and sees the suitcase.","After Han Meimei opens the suitcase, what does Han Meimei think Li Lei expects to find inside the suitcase?",Pineapple,Dress,Crayon,Cucumber,C,False Belief Task
295,"Xiao Li and Li Lei are wandering in the hall, they see the cabinet and the box, they find a vest in the cabinet, Li Lei leaves the hall, Xiao Li moves the vest to the box.","After Li Lei returns to the hall, where does Li Lei think Xiao Li looks for the vest?",Box,Drawer,Cabinet,Suitcase,C,False Belief Task
296,"Daxiong and Xiaozhi are good friends, they often go out to play together. A-Ming is their classmate, he is always with Xiaozhi every day. One day, Daxiong meets A-Ming in the corridor, but Xiaozhi is not with him. A-Ming looks out the window with a gloomy face. Daxiong asks A-Ming: ""How is Xiaozhi?"" A-Ming swallows and looks into Daxiong's eyes and says: ""Xiaozhi... I am not clear either."" A-Ming's answer confuses Daxiong. Later, Daxiong sees Xiaozhi sitting in the corner of the classroom, looking sad. Daxiong walks over, but Xiaozhi pretends not to see.",Why does Daxiong ask A-Ming how Xiaozhi is?,"Daxiong just asks casually, wants to tease A-Ming.",Daxiong wants to understand the situation of Xiaozhi.,Daxiong wants to inquire about the relationship between A-Ming and Xiaozhi.,"Daxiong admires the friendship between A-Ming and Xiaozhi, wants to get involved.",B,Ambiguous Story Task
297,"Xiao Li really wants to go to her friend Xiao Hong's birthday party, but Xiao Hong invites classmates she does not like. When her mother asks her if she wants to go to the party, Xiao Li says: ""I do not want to go.""",Why does Xiao Li say she does not want to go to the birthday party?,Because she does not like parties.,Because she is afraid of meeting classmates she does not like.,Because she does not feel well.,Because she has other plans.,B,Strange Story Task
298,"In a university language lab, there are 30 pairs of headphones. The lab assistant tells the teacher that she thinks most of the headphones are good, a small part of the headphones has one broken, and there are almost no completely broken headphones. After the teacher checks, he finds that only 5 pairs of headphones have one broken.","Please ask, before the teacher checks, how many pairs of headphones does he guess are good?","Before the teacher checks, he guesses that 30 pairs of headphones are good.","Before the teacher checks, he guesses that 29 pairs of headphones are good.","Before the teacher checks, he guesses that 28 pairs of headphones are good","Before the teacher checks, he guesses that 20 pairs of headphones are good.",C,Scalar Implicature Test
299,"Xiao Ming and Zhang Wei are wandering in the hall, they see a handbag and a box, they find a sponge in the handbag, Zhang Wei leaves the hall, Xiao Ming moves the sponge to the box.",Where is the sponge now?,Box,Handbag,Storage locker,Briefcase,A,False Belief Task
300,"Xiao Ming finds a briefcase in the basement, the label on the briefcase is a tape, Xiao Ming cannot see what is inside the briefcase, Xiao Ming opens the briefcase and finds a calculator, there is no tape inside the briefcase, Xiao Ming closes the briefcase and puts it back in its place, Xiao Li enters the basement and sees the briefcase.","After Xiao Li opens the briefcase, what does Xiao Ming think Xiao Li expects to find in the briefcase?",Calculator,Tape,Cup,Light bulb,B,False Belief Task
301,"Mingfeng, Xiaoyu, and Xiaolin are good friends. This afternoon, Mingfeng watches Xiaoyu and her newly adopted pet dog play under the shade of the trees in the community. Suddenly, he winks at Xiaolin who is next to him, and looks at the nearby pet supply store. Xiaolin looks at Xiaoyu, then responds to Mingfeng's gaze. After that, she stands up and walks towards the pet supply store.",What do you think Xiaoyu thinks?,"Xiaoyu feels angry, she thinks Mingfeng and Xiaolin have secrets they do not share with her.",Xiaoyu feels puzzled and somewhat confused about their behavior.,Xiaoyu thinks Mingfeng and Xiaolin do not like her new pet.,"Xiaoyu feels a bit sad about Xiaolin's departure, thinking she does not like to play.",B,Ambiguous Story Task
302,"Zhao Min brings enough outdoor activity supplies and camps by a lake in New Zealand. The lake water is clear and green, surrounded by lush hills and peaceful natural scenery, which makes people very relaxed.",What is Zhao Min's feeling when camping?,Happy,Worry,Lonely,Excited,A,Unexpected Outcome Test
303,"Mr. Zhao is a respected doctor with exceptional medical skills, often having many patients waiting in line for consultations. However, he is someone who cares deeply about others' opinions. A while back, Mr. Li's cow had damaged Mr. Zhao's vegetable garden, leading to a heated argument between them. This incident, though, is now in the past for Mr. Zhao. One day, Mr. Li approached Mr. Zhao, hoping he could help figure out why his cow suddenly stopped eating. Upon hearing it was for the cow, Mr. Zhao told Mr. Li, ""I'm too busy lately, with several surgeries lined up. It's better for you to find another veterinarian to take a look."" Despite some disappointment, Mr. Li thanked Mr. Zhao and turned away.",Is what Mr. Zhao says true?,A. Yes,B. No,,,B,Strange Story Task
304,"On a relaxed Friday afternoon in the office, Xiao Hong wants to liven up the atmosphere, so she suggests everyone temporarily puts down their work and goes to the pantry for a cup of coffee. She invites her boss, Manager Wang, and her colleague Xiao Fang. In the pantry, the three sit around the steaming coffee, Xiao Hong wants to chat about something, so she turns to Manager Wang and excitedly asks: ""Manager Wang, do you and your wife have any special plans for this weekend? It's been a long time since I see you guys go on a trip!"" Manager Wang takes a sip of his coffee and answers lightly: ""Oh, there are no special arrangements recently."" Xiao Hong is unaware, nods her head, and continues to say: ""Really? You should go out and relax, it's good."" Xiao Fang senses the subtlety of the topic and quickly changes the subject: ""By the way, we try a few new herbal teas recently, do you want to try?""",Does anyone say something inappropriate in this story?,Someone says something inappropriate in the story.,No one says anything inappropriate in the story.,,,A,Faux-pas Recognition Test
305,"Li Na posts her personally developed new app on social media, which she and her friends research and conduct many security tests before releasing. The program gets a lot of downloads and positive feedback in a short time.","Li Na should be proud of the success of her app, but in fact, she feels anxious, why?","Li Na worries that her app may have undiscovered vulnerabilities, which may damage her reputation in the industry.","Li Na's competitors start to imitate the functions of her app, even though they can't break through the core capabilities.","Li Na's friends are very envious of her great success, which makes her feel isolated and uneasy.","High popularity means high expectations, Li Na worries that she can't cope with the pressure brought by high expectations.",D,Unexpected Outcome Test
306,"Xiao Chen and his roommate Xiao Zhao share an apartment, and Xiao Chen hopes that Xiao Zhao agrees to let his pet cat live with them, so he does not have to find another place for the cat.",How does Xiao Chen convince Xiao Zhao?,He emphasizes that such cooperation makes their relationship more harmonious.,Xiao Chen gives examples of other roommates who successfully keep cats in shared apartments.,Xiao Chen emphasizes that the company of the cat makes the apartment more warm and interesting.,"Xiao Chen suggests trying it for a while, if Xiao Zhao does not adapt, he arranges a new place for the cat.",D,Persuasion Story Task
307,"Xiao Li is a single mother, her son Xiao Qiang just starts junior high school, he is very rebellious, Xiao Li hopes to let him know the importance of learning.",How does Xiao Li persuade Xiao Li?,"She attends an academic seminar or open class with Xiao Qiang, letting him experience the joy of learning.","She finds some successful people to talk with Xiao Qiang, sharing how they achieve their dreams through learning.","She combines learning with his interests, such as his favorite music, art or sports.","She tells Xiao Qiang the importance of learning through daily life examples, such as the stories of successful people in the news, movies or books.",C,Persuasion Story Task
308,"Today, Bohan goes to Xiuya's house for the first time. He goes to her house for coffee and looks forward to seeing the dog that Xiuya often mentions. Bohan really likes dogs. When Bohan arrives at Xiuya's house, Xiuya runs to open the door, and her dog jumps up to welcome Bohan. Xiuya's dog is very big, almost as big as Bohan! When Bohan sees Xiuya's huge dog, he says, ""Xiuya, you don't have a dog at all. What you have is an elephant!",Is what Bohan says true?,Yes,No,,,B,Strange Story Task
309,"Zhang Xi and Jiang Yang are the leaders of the community activity preparation group. They are deciding the theme of the next community activity. Ming Ai is a new member of the preparation group, today is her first time participating in the activity discussion meeting. While waiting for her turn to speak, Ming Ai keeps flipping through the documents in front of her, Jiang Yang, with a smile on his face, looks at Zhang Xi, then at Ming Ai. Then Zhang Xi puts down the document, nods at Jiang Yang with a smile, and walks towards Ming Ai. Ming Ai sees all their actions.",Why does Zhang Xi smile and nod at Jiang Yang?,Zhang Xi smiles because he just sees some interesting content.,Zhang Xi smiles and nods at Jiang Yang because he agrees with Jiang Yang's opinion in his speech.,Zhang Xi smiles at Jiang Yang to signal that he is ready to comfort the nervous Ming Ai.,Zhang Xi thinks that the activity discussion meeting is very successful.,C,Ambiguous Story Task
310,"Teacher Wang Ming insists that studying is for exams. The class's top student, Xiao Hong, participates in many practical activities, hoping to convince Wang Ming of the true meaning of learning through personal experience.",How does Xiao Hong convince Wang Ming?,"Xiao Hong can discuss future career planning with Wang Ming, guiding him to realize the importance of practice.","Xiao Hong can invite Wang Ming to participate in some practical activities, letting him experience the joy of learning firsthand.",Xiao Hong can use stories of historical figures to illustrate that the purpose of learning is not just for exams.,"Xiao Hong can show her achievements in practical activities, and explain that these are experiences that pure studying cannot provide.",D,Persuasion Story Task
311,"Su Ting publishes an article about future technology trends on her personal blog. This article cites many literature materials and unexpectedly causes a huge response on social media, and people widely share and discuss it.",What is Su Ting's reaction when she sees her article suddenly becomes popular?,Happy,Surprise,Panic,Anxious,B,Unexpected Outcome Test
312,"Li Hua is in charge of showcasing a new software product at the company's annual dinner. As he prepares for the demonstration, he accidentally deletes the key demonstration file. Zhang Wei, who does not understand this software well, mistakenly thinks an irrelevant file is the demonstration file and deletes it while helping Li Hua find the file. At the same time, Wang Min sees this, she is Li Hua's competitor, clearly knows that the real demonstration file is already deleted by Li Hua, but in order to take the initiative at the dinner, she chooses not to tell Zhang Wei and Li Hua. When Li Hua realizes the file is missing, he feels very anxious and looks for solutions everywhere. Later, Zhang Wei realizes the mistake he might have made when he hears other colleagues discussing the preparation process for the demonstration.","Wang Min knows that the real demonstration file is deleted by Li Hua, but does not tell Zhang Wei and Li Hua, what kind of emotion does she feel?",Wang Min possibly feels guilty because she does not help her colleagues solve the problem.,"Wang Min possibly feels worried, fearing that her silence is discovered.",Wang Min possibly feels satisfied and confident because she sees Li Hua's predicament brings her a competitive advantage.,Wang Min possibly feels indifferent because she thinks this does not affect her performance.,C,Moral emotions
313,"The scenery of Copacabana Beach in Rio de Janeiro, Brazil is very beautiful, many people are experiencing exciting surfing, Wang Lei, as a sports enthusiast, looks forward to and is about to start experiencing surfing. But at this time, the waves are much larger than Wang Lei expects, and the experience of drowning in childhood also comes to mind.",What is Wang Lei's feeling when he is about to try surfing?,Thrilled,Disappointed,Fear,Satisfied,C,Unexpected Outcome Test
314,"Xiaolin and Xiaoli are good friends. Xiaoli breaks up last weekend. One day, when Xiaolin sees Xiaoli, he says, ""Xiaoli, why don't you come to the party last weekend? We all miss you."" Xiaoli briefly replies, ""Oh, I have something to do."" Xiaolin continues, ""Your girlfriend also doesn't come, don't you always attend together?"" Xiaoli says, ""I am quite busy with work recently.""",Does Xiaolin know that Xiaoli breaks up?,Knows,Does not know,,,B,Faux-pas Recognition Test
315,"Han Meimei finds a backpack in the garden, the label on the backpack is tomato, Han Meimei cannot see what is inside the backpack, Han Meimei opens the backpack and finds a light bulb, there are no tomatoes in the backpack, Han Meimei closes the backpack and puts it back in its place, Li Lei enters the garden and sees the backpack.",What should be inside the backpack?,Light bulb,Cucumber,Tomato,Zucchini,C,False Belief Task
316,"Li Ming and Zhang Nan participate in the school debate competition, Zhang Nan wins the best debater award, the whole team gets the final victory. As the team leader, Li Ming guides every teammate's debate manuscript, puts in a lot of effort.\nLi Ming says to Zhang Nan: ""I am very happy, you are really great, congratulations on winning the award!"" Li Ming says to his sister: ""I am really sad.""",Is what Li Ming says to Zhang Nan true?,Yes,No,,,A,Strange Story Task
317,"In a small town, Wang Li and Wang Ben are a pair of close siblings. One day, Wang Ben, because of his outstanding musical talent, gets accepted by a well-known music academy, becoming the first person in their family to get accepted by a university, while Wang Li does not receive an admission notice. Wang Li says during the celebration, ""I am really happy for you!"" But when she is alone, she sighs deeply.",Is what Wang Li says to Wang Ben true?,Yes,No,,,A,Strange Story Task
318,"Lin Feng dances on stage, for the creativity of the dance, he intentionally designs to accidentally fall in front of all the audience, and safely completes the entire dance. Lin Feng accidentally falls while dancing on stage.",What kind of emotion does Lin Feng produce?,Regretful,Embarrassed,Satisfied,Jealous,C,Unexpected Outcome Test
319,"Xiao Ming's teacher often gives students a lot of homework. This weekend, Xiao Ming wants to go to his friend Xiao Chen's house to play games together. But Xiao Ming still has a lot of homework that he does not finish. Xiao Ming's father sees him working hard all day on his homework, and asks Xiao Ming if he finishes his homework? Does he want to go out and play for a rest? Xiao Ming says, ""No, I do not want to.""",Is what Xiao Ming says to his father true?,Yes,No,,,B,Strange Story Task
